file,emotion,gender,speaker,language,prototypicality
DEMoS/DEMOS/NP_m_58_sor01c.wav,surprise,male,58,italian,NP
DEMoS/DEMOS/NP_m_13_rab06b.wav,anger,male,13,italian,NP
DEMoS/DEMOS/PR_m_39_tri08b.wav,sadness,male,39,italian,PR
DEMoS/DEMOS/NP_m_07_sor05b.wav,surprise,male,07,italian,NP
DEMoS/DEMOS/NP_m_11_dis16b.wav,disgust,male,11,italian,NP
DEMoS/DEMOS/PR_f_22_tri09b.wav,sadness,female,22,italian,PR
DEMoS/DEMOS/NP_m_15_rab02b.wav,anger,male,15,italian,NP
DEMoS/DEMOS/NP_m_59_pau09b.wav,fear,male,59,italian,NP
DEMoS/DEMOS/NP_m_68_tri06b.wav,sadness,male,68,italian,NP
DEMoS/DEMOS/NP_m_62_sor13b.wav,surprise,male,62,italian,NP
DEMoS/DEMOS/PR_m_23_tri06b.wav,sadness,male,23,italian,PR
DEMoS/DEMOS/PR_m_11_col11b.wav,guilt,male,11,italian,PR
DEMoS/DEMOS/PR_f_60_col05c.wav,guilt,female,60,italian,PR
DEMoS/DEMOS/NP_m_20_col12b.wav,guilt,male,20,italian,NP
DEMoS/DEMOS/NP_m_63_pau03b.wav,fear,male,63,italian,NP
DEMoS/DEMOS/NP_f_37_col13b.wav,guilt,female,37,italian,NP
DEMoS/DEMOS/NP_f_47_tri06b.wav,sadness,female,47,italian,NP
DEMoS/DEMOS/NP_m_41_dis09b.wav,disgust,male,41,italian,NP
DEMoS/DEMOS/NP_f_29_rab02b.wav,anger,female,29,italian,NP
DEMoS/DEMOS/PR_m_66_sor00a.wav,surprise,male,66,italian,PR
DEMoS/DEMOS/NP_f_55_gio07b.wav,happiness,female,55,italian,NP
DEMoS/DEMOS/NP_m_53_sor03b.wav,surprise,male,53,italian,NP
DEMoS/DEMOS/NP_m_27_dis04b.wav,disgust,male,27,italian,NP
DEMoS/DEMOS/NP_m_12_pau06b.wav,fear,male,12,italian,NP
DEMoS/DEMOS/NP_m_62_sor02b.wav,surprise,male,62,italian,NP
DEMoS/DEMOS/NP_m_68_gio16b.wav,happiness,male,68,italian,NP
DEMoS/DEMOS/NP_m_11_gio20b.wav,happiness,male,11,italian,NP
DEMoS/DEMOS/NP_m_58_sor02b.wav,surprise,male,58,italian,NP
DEMoS/DEMOS/NP_f_37_dis11b.wav,disgust,female,37,italian,NP
DEMoS/DEMOS/NP_m_58_rab18b.wav,anger,male,58,italian,NP
DEMoS/DEMOS/NP_f_56_rab00a.wav,anger,female,56,italian,NP
DEMoS/DEMOS/NP_m_19_dis14b.wav,disgust,male,19,italian,NP
DEMoS/DEMOS/NP_m_50_dis14b.wav,disgust,male,50,italian,NP
DEMoS/DEMOS/NP_m_58_gio05c.wav,happiness,male,58,italian,NP
DEMoS/DEMOS/NP_m_15_tri10b.wav,sadness,male,15,italian,NP
DEMoS/DEMOS/PR_f_40_dis01c.wav,disgust,female,40,italian,PR
DEMoS/DEMOS/NP_f_46_rab19b.wav,anger,female,46,italian,NP
DEMoS/DEMOS/NP_m_13_col12b.wav,guilt,male,13,italian,NP
DEMoS/DEMOS/NP_m_62_dis12b.wav,disgust,male,62,italian,NP
DEMoS/DEMOS/NP_m_63_tri18b.wav,sadness,male,63,italian,NP
DEMoS/DEMOS/NP_f_45_rab11b.wav,anger,female,45,italian,NP
DEMoS/DEMOS/NP_m_42_pau12b.wav,fear,male,42,italian,NP
DEMoS/DEMOS/PR_m_51_col01c.wav,guilt,male,51,italian,PR
DEMoS/DEMOS/PR_m_19_sor05b.wav,surprise,male,19,italian,PR
DEMoS/DEMOS/NP_m_53_tri09b.wav,sadness,male,53,italian,NP
DEMoS/DEMOS/PR_m_08_col00a.wav,guilt,male,08,italian,PR
DEMoS/DEMOS/NP_m_65_rab12b.wav,anger,male,65,italian,NP
DEMoS/DEMOS/NP_m_12_col08b.wav,guilt,male,12,italian,NP
DEMoS/DEMOS/NP_f_36_pau14b.wav,fear,female,36,italian,NP
DEMoS/DEMOS/NP_m_67_dis20b.wav,disgust,male,67,italian,NP
DEMoS/DEMOS/PR_m_24_sor07b.wav,surprise,male,24,italian,PR
DEMoS/DEMOS/NP_m_41_sor02b.wav,surprise,male,41,italian,NP
DEMoS/DEMOS/NP_m_08_sor13b.wav,surprise,male,08,italian,NP
DEMoS/DEMOS/PR_m_23_pau15b.wav,fear,male,23,italian,PR
DEMoS/DEMOS/NP_m_03_tri09b.wav,sadness,male,03,italian,NP
DEMoS/DEMOS/NP_m_69_col05b.wav,guilt,male,69,italian,NP
DEMoS/DEMOS/NP_m_67_tri15b.wav,sadness,male,67,italian,NP
DEMoS/DEMOS/NP_m_53_dis20b.wav,disgust,male,53,italian,NP
DEMoS/DEMOS/NP_m_53_dis12b.wav,disgust,male,53,italian,NP
DEMoS/DEMOS/NP_m_15_pau12b.wav,fear,male,15,italian,NP
DEMoS/DEMOS/NP_m_42_gio01c.wav,happiness,male,42,italian,NP
DEMoS/DEMOS/NP_m_08_rab07b.wav,anger,male,08,italian,NP
DEMoS/DEMOS/NP_m_07_sor07b.wav,surprise,male,07,italian,NP
DEMoS/DEMOS/NP_m_69_rab04b.wav,anger,male,69,italian,NP
DEMoS/DEMOS/NP_f_46_gio01c.wav,happiness,female,46,italian,NP
DEMoS/DEMOS/NP_m_42_sor10b.wav,surprise,male,42,italian,NP
DEMoS/DEMOS/NP_m_04_col06b.wav,guilt,male,04,italian,NP
DEMoS/DEMOS/NP_f_31_col10b.wav,guilt,female,31,italian,NP
DEMoS/DEMOS/PR_m_67_sor02c.wav,surprise,male,67,italian,PR
DEMoS/DEMOS/NP_m_67_gio19b.wav,happiness,male,67,italian,NP
DEMoS/DEMOS/NP_m_04_col10b.wav,guilt,male,04,italian,NP
DEMoS/DEMOS/PR_m_59_tri10c.wav,sadness,male,59,italian,PR
DEMoS/DEMOS/NP_m_41_col05b.wav,guilt,male,41,italian,NP
DEMoS/DEMOS/NP_m_59_dis13b.wav,disgust,male,59,italian,NP
DEMoS/DEMOS/NP_m_11_dis00a.wav,disgust,male,11,italian,NP
DEMoS/DEMOS/NP_f_44_tri15b.wav,sadness,female,44,italian,NP
DEMoS/DEMOS/PR_m_50_tri16b.wav,sadness,male,50,italian,PR
DEMoS/DEMOS/NP_m_52_rab09b.wav,anger,male,52,italian,NP
DEMoS/DEMOS/NP_f_45_col04c.wav,guilt,female,45,italian,NP
DEMoS/DEMOS/NP_f_31_pau04b.wav,fear,female,31,italian,NP
DEMoS/DEMOS/NP_m_05_gio09b.wav,happiness,male,05,italian,NP
DEMoS/DEMOS/NP_f_45_gio03b.wav,happiness,female,45,italian,NP
DEMoS/DEMOS/NP_m_41_col10b.wav,guilt,male,41,italian,NP
DEMoS/DEMOS/NP_f_38_dis13b.wav,disgust,female,38,italian,NP
DEMoS/DEMOS/NP_f_56_rab06b.wav,anger,female,56,italian,NP
DEMoS/DEMOS/PR_m_51_tri04b.wav,sadness,male,51,italian,PR
DEMoS/DEMOS/PR_f_57_col05c.wav,guilt,female,57,italian,PR
DEMoS/DEMOS/NP_f_57_gio03b.wav,happiness,female,57,italian,NP
DEMoS/DEMOS/NP_f_43_rab07b.wav,anger,female,43,italian,NP
DEMoS/DEMOS/NP_m_15_pau06b.wav,fear,male,15,italian,NP
DEMoS/DEMOS/NP_f_43_tri00a.wav,sadness,female,43,italian,NP
DEMoS/DEMOS/NP_m_05_rab13b.wav,anger,male,05,italian,NP
DEMoS/DEMOS/NP_m_09_gio18b.wav,happiness,male,09,italian,NP
DEMoS/DEMOS/NP_m_32_col02b.wav,guilt,male,32,italian,NP
DEMoS/DEMOS/PR_f_31_pau02b.wav,fear,female,31,italian,PR
DEMoS/DEMOS/NP_m_34_dis04c.wav,disgust,male,34,italian,NP
DEMoS/DEMOS/PR_f_01_col02b.wav,guilt,female,01,italian,PR
DEMoS/DEMOS/NP_m_51_dis22b.wav,disgust,male,51,italian,NP
DEMoS/DEMOS/NP_m_14_tri18b.wav,sadness,male,14,italian,NP
DEMoS/DEMOS/NP_m_51_pau08b.wav,fear,male,51,italian,NP
DEMoS/DEMOS/NP_m_62_tri11c.wav,sadness,male,62,italian,NP
DEMoS/DEMOS/PR_m_66_dis02b.wav,disgust,male,66,italian,PR
DEMoS/DEMOS/NP_f_57_gio02b.wav,happiness,female,57,italian,NP
DEMoS/DEMOS/NP_f_47_pau04b.wav,fear,female,47,italian,NP
DEMoS/DEMOS/PR_f_43_pau01c.wav,fear,female,43,italian,PR
DEMoS/DEMOS/NP_m_24_col04b.wav,guilt,male,24,italian,NP
DEMoS/DEMOS/NP_m_42_gio16b.wav,happiness,male,42,italian,NP
DEMoS/DEMOS/NP_m_66_tri17b.wav,sadness,male,66,italian,NP
DEMoS/DEMOS/NP_m_08_sor05b.wav,surprise,male,08,italian,NP
DEMoS/DEMOS/NP_m_16_tri07b.wav,sadness,male,16,italian,NP
DEMoS/DEMOS/PR_f_29_gio20b.wav,happiness,female,29,italian,PR
DEMoS/DEMOS/NP_f_55_gio03b.wav,happiness,female,55,italian,NP
DEMoS/DEMOS/PR_f_21_rab00a.wav,anger,female,21,italian,PR
DEMoS/DEMOS/NP_f_40_gio17b.wav,happiness,female,40,italian,NP
DEMoS/DEMOS/PR_m_19_rab16b.wav,anger,male,19,italian,PR
DEMoS/DEMOS/PR_m_69_pau12b.wav,fear,male,69,italian,PR
DEMoS/DEMOS/NP_m_53_pau01c.wav,fear,male,53,italian,NP
DEMoS/DEMOS/NP_f_46_tri02b.wav,sadness,female,46,italian,NP
DEMoS/DEMOS/NP_m_52_gio02c.wav,happiness,male,52,italian,NP
DEMoS/DEMOS/PR_m_30_tri01c.wav,sadness,male,30,italian,PR
DEMoS/DEMOS/PR_m_66_dis22b.wav,disgust,male,66,italian,PR
DEMoS/DEMOS/NP_f_46_dis13b.wav,disgust,female,46,italian,NP
DEMoS/DEMOS/PR_m_50_rab03c.wav,anger,male,50,italian,PR
DEMoS/DEMOS/NP_f_01_pau06b.wav,fear,female,01,italian,NP
DEMoS/DEMOS/PR_m_26_tri01b.wav,sadness,male,26,italian,PR
DEMoS/DEMOS/NP_f_37_dis04b.wav,disgust,female,37,italian,NP
DEMoS/DEMOS/PR_f_22_rab18b.wav,anger,female,22,italian,PR
DEMoS/DEMOS/NP_m_07_sor02b.wav,surprise,male,07,italian,NP
DEMoS/DEMOS/NP_m_63_col07b.wav,guilt,male,63,italian,NP
DEMoS/DEMOS/NP_f_55_rab02b.wav,anger,female,55,italian,NP
DEMoS/DEMOS/NP_f_61_tri07b.wav,sadness,female,61,italian,NP
DEMoS/DEMOS/NP_f_45_rab17b.wav,anger,female,45,italian,NP
DEMoS/DEMOS/NP_m_63_gio06b.wav,happiness,male,63,italian,NP
DEMoS/DEMOS/NP_m_28_gio01b.wav,happiness,male,28,italian,NP
DEMoS/DEMOS/NP_f_48_col03b.wav,guilt,female,48,italian,NP
DEMoS/DEMOS/NP_m_25_tri06b.wav,sadness,male,25,italian,NP
DEMoS/DEMOS/NP_m_03_dis21b.wav,disgust,male,03,italian,NP
DEMoS/DEMOS/PR_m_63_col04c.wav,guilt,male,63,italian,PR
DEMoS/DEMOS/NP_f_17_gio00a.wav,happiness,female,17,italian,NP
DEMoS/DEMOS/NP_m_58_tri01b.wav,sadness,male,58,italian,NP
DEMoS/DEMOS/NP_m_16_dis05b.wav,disgust,male,16,italian,NP
DEMoS/DEMOS/PR_f_31_rab16b.wav,anger,female,31,italian,PR
DEMoS/DEMOS/NP_m_32_rab07b.wav,anger,male,32,italian,NP
DEMoS/DEMOS/NP_f_38_gio01b.wav,happiness,female,38,italian,NP
DEMoS/DEMOS/NP_m_08_rab02b.wav,anger,male,08,italian,NP
DEMoS/DEMOS/PR_m_50_pau15b.wav,fear,male,50,italian,PR
DEMoS/DEMOS/NP_m_13_dis02b.wav,disgust,male,13,italian,NP
DEMoS/DEMOS/NP_m_10_sor01b.wav,surprise,male,10,italian,NP
DEMoS/DEMOS/PR_m_23_sor06b.wav,surprise,male,23,italian,PR
DEMoS/DEMOS/NP_f_48_tri14b.wav,sadness,female,48,italian,NP
DEMoS/DEMOS/NP_m_27_dis01b.wav,disgust,male,27,italian,NP
DEMoS/DEMOS/NP_m_02_pau00a.wav,fear,male,02,italian,NP
DEMoS/DEMOS/NP_m_13_pau01b.wav,fear,male,13,italian,NP
DEMoS/DEMOS/NP_m_66_pau11b.wav,fear,male,66,italian,NP
DEMoS/DEMOS/NP_m_42_pau01b.wav,fear,male,42,italian,NP
DEMoS/DEMOS/NP_m_03_pau09b.wav,fear,male,03,italian,NP
DEMoS/DEMOS/NP_m_15_pau00a.wav,fear,male,15,italian,NP
DEMoS/DEMOS/NP_m_27_rab13b.wav,anger,male,27,italian,NP
DEMoS/DEMOS/PR_m_30_col00a.wav,guilt,male,30,italian,PR
DEMoS/DEMOS/NP_m_34_dis05b.wav,disgust,male,34,italian,NP
DEMoS/DEMOS/NP_f_48_gio00a.wav,happiness,female,48,italian,NP
DEMoS/DEMOS/NP_m_08_gio19b.wav,happiness,male,08,italian,NP
DEMoS/DEMOS/NP_f_56_tri07b.wav,sadness,female,56,italian,NP
DEMoS/DEMOS/NP_m_62_rab17b.wav,anger,male,62,italian,NP
DEMoS/DEMOS/NP_m_34_tri15b.wav,sadness,male,34,italian,NP
DEMoS/DEMOS/NP_m_16_sor06b.wav,surprise,male,16,italian,NP
DEMoS/DEMOS/NP_m_30_tri10b.wav,sadness,male,30,italian,NP
DEMoS/DEMOS/NP_f_21_tri06b.wav,sadness,female,21,italian,NP
DEMoS/DEMOS/PR_f_22_dis09b.wav,disgust,female,22,italian,PR
DEMoS/DEMOS/NP_f_43_sor02b.wav,surprise,female,43,italian,NP
DEMoS/DEMOS/NP_m_16_dis14b.wav,disgust,male,16,italian,NP
DEMoS/DEMOS/NP_m_30_pau01b.wav,fear,male,30,italian,NP
DEMoS/DEMOS/NP_m_65_gio00a.wav,happiness,male,65,italian,NP
DEMoS/DEMOS/PR_m_51_col03b.wav,guilt,male,51,italian,PR
DEMoS/DEMOS/NP_m_16_gio20b.wav,happiness,male,16,italian,NP
DEMoS/DEMOS/NP_m_27_sor06b.wav,surprise,male,27,italian,NP
DEMoS/DEMOS/NP_f_01_col12b.wav,guilt,female,01,italian,NP
DEMoS/DEMOS/NP_m_66_sor10b.wav,surprise,male,66,italian,NP
DEMoS/DEMOS/PR_f_29_gio10b.wav,happiness,female,29,italian,PR
DEMoS/DEMOS/NP_f_17_pau01b.wav,fear,female,17,italian,NP
DEMoS/DEMOS/NP_m_03_tri15b.wav,sadness,male,03,italian,NP
DEMoS/DEMOS/NP_f_43_pau03b.wav,fear,female,43,italian,NP
DEMoS/DEMOS/NP_m_07_tri07b.wav,sadness,male,07,italian,NP
DEMoS/DEMOS/NP_m_63_sor11b.wav,surprise,male,63,italian,NP
DEMoS/DEMOS/NP_m_33_col01b.wav,guilt,male,33,italian,NP
DEMoS/DEMOS/PR_f_37_tri19b.wav,sadness,female,37,italian,PR
DEMoS/DEMOS/NP_m_20_dis14b.wav,disgust,male,20,italian,NP
DEMoS/DEMOS/NP_m_51_pau13b.wav,fear,male,51,italian,NP
DEMoS/DEMOS/PR_m_51_tri10b.wav,sadness,male,51,italian,PR
DEMoS/DEMOS/PR_f_22_pau15b.wav,fear,female,22,italian,PR
DEMoS/DEMOS/NP_f_54_rab05b.wav,anger,female,54,italian,NP
DEMoS/DEMOS/NP_m_41_gio03b.wav,happiness,male,41,italian,NP
DEMoS/DEMOS/NP_f_22_dis12b.wav,disgust,female,22,italian,NP
DEMoS/DEMOS/NP_m_39_gio05b.wav,happiness,male,39,italian,NP
DEMoS/DEMOS/NP_f_60_dis10b.wav,disgust,female,60,italian,NP
DEMoS/DEMOS/NP_f_29_rab13b.wav,anger,female,29,italian,NP
DEMoS/DEMOS/NP_m_63_sor00a.wav,surprise,male,63,italian,NP
DEMoS/DEMOS/NP_m_62_tri05b.wav,sadness,male,62,italian,NP
DEMoS/DEMOS/NP_f_56_dis00a.wav,disgust,female,56,italian,NP
DEMoS/DEMOS/PR_f_36_gio19b.wav,happiness,female,36,italian,PR
DEMoS/DEMOS/NP_m_19_gio07b.wav,happiness,male,19,italian,NP
DEMoS/DEMOS/PR_m_12_tri05b.wav,sadness,male,12,italian,PR
DEMoS/DEMOS/PR_m_59_pau07c.wav,fear,male,59,italian,PR
DEMoS/DEMOS/NP_m_13_col04b.wav,guilt,male,13,italian,NP
DEMoS/DEMOS/NP_f_48_pau01c.wav,fear,female,48,italian,NP
DEMoS/DEMOS/NP_f_38_rab12b.wav,anger,female,38,italian,NP
DEMoS/DEMOS/NP_f_61_pau02b.wav,fear,female,61,italian,NP
DEMoS/DEMOS/PR_m_59_tri14c.wav,sadness,male,59,italian,PR
DEMoS/DEMOS/NP_f_57_sor04b.wav,surprise,female,57,italian,NP
DEMoS/DEMOS/NP_m_50_rab09b.wav,anger,male,50,italian,NP
DEMoS/DEMOS/NP_f_21_col01b.wav,guilt,female,21,italian,NP
DEMoS/DEMOS/PR_m_27_rab17b.wav,anger,male,27,italian,PR
DEMoS/DEMOS/NP_m_16_col04b.wav,guilt,male,16,italian,NP
DEMoS/DEMOS/PR_m_53_rab14b.wav,anger,male,53,italian,PR
DEMoS/DEMOS/NP_f_29_sor05b.wav,surprise,female,29,italian,NP
DEMoS/DEMOS/PR_m_02_rab00a.wav,anger,male,02,italian,PR
DEMoS/DEMOS/NP_m_67_rab02b.wav,anger,male,67,italian,NP
DEMoS/DEMOS/PR_f_61_rab01c.wav,anger,female,61,italian,PR
DEMoS/DEMOS/NP_m_39_rab14b.wav,anger,male,39,italian,NP
DEMoS/DEMOS/NP_f_60_dis04b.wav,disgust,female,60,italian,NP
DEMoS/DEMOS/NP_f_36_rab10b.wav,anger,female,36,italian,NP
DEMoS/DEMOS/NP_m_64_col12b.wav,guilt,male,64,italian,NP
DEMoS/DEMOS/NP_m_25_pau00a.wav,fear,male,25,italian,NP
DEMoS/DEMOS/NP_m_26_dis23b.wav,disgust,male,26,italian,NP
DEMoS/DEMOS/NP_f_37_sor10b.wav,surprise,female,37,italian,NP
DEMoS/DEMOS/NP_f_38_rab07b.wav,anger,female,38,italian,NP
DEMoS/DEMOS/NP_m_06_col00a.wav,guilt,male,06,italian,NP
DEMoS/DEMOS/NP_m_08_col08b.wav,guilt,male,08,italian,NP
DEMoS/DEMOS/NP_f_37_col07b.wav,guilt,female,37,italian,NP
DEMoS/DEMOS/NP_m_08_gio20b.wav,happiness,male,08,italian,NP
DEMoS/DEMOS/NP_m_62_rab12b.wav,anger,male,62,italian,NP
DEMoS/DEMOS/NP_f_01_tri11b.wav,sadness,female,01,italian,NP
DEMoS/DEMOS/PR_f_57_rab12b.wav,anger,female,57,italian,PR
DEMoS/DEMOS/NP_m_06_gio07b.wav,happiness,male,06,italian,NP
DEMoS/DEMOS/NP_m_10_dis05b.wav,disgust,male,10,italian,NP
DEMoS/DEMOS/PR_m_59_rab17b.wav,anger,male,59,italian,PR
DEMoS/DEMOS/NP_f_29_gio03b.wav,happiness,female,29,italian,NP
DEMoS/DEMOS/NP_f_21_dis14b.wav,disgust,female,21,italian,NP
DEMoS/DEMOS/NP_m_32_gio20b.wav,happiness,male,32,italian,NP
DEMoS/DEMOS/NP_f_56_rab16b.wav,anger,female,56,italian,NP
DEMoS/DEMOS/NP_f_47_rab00a.wav,anger,female,47,italian,NP
DEMoS/DEMOS/NP_m_14_rab17b.wav,anger,male,14,italian,NP
DEMoS/DEMOS/NP_m_52_gio12b.wav,happiness,male,52,italian,NP
DEMoS/DEMOS/NP_m_25_pau10b.wav,fear,male,25,italian,NP
DEMoS/DEMOS/NP_m_20_col05b.wav,guilt,male,20,italian,NP
DEMoS/DEMOS/NP_f_31_gio01b.wav,happiness,female,31,italian,NP
DEMoS/DEMOS/NP_m_28_col10b.wav,guilt,male,28,italian,NP
DEMoS/DEMOS/PR_m_53_tri05c.wav,sadness,male,53,italian,PR
DEMoS/DEMOS/NP_m_66_tri08b.wav,sadness,male,66,italian,NP
DEMoS/DEMOS/NP_m_34_rab18b.wav,anger,male,34,italian,NP
DEMoS/DEMOS/NP_m_62_dis02c.wav,disgust,male,62,italian,NP
DEMoS/DEMOS/NP_f_40_gio09b.wav,happiness,female,40,italian,NP
DEMoS/DEMOS/NP_f_54_pau04b.wav,fear,female,54,italian,NP
DEMoS/DEMOS/NP_f_17_gio05b.wav,happiness,female,17,italian,NP
DEMoS/DEMOS/NP_f_36_tri09c.wav,sadness,female,36,italian,NP
DEMoS/DEMOS/NP_f_31_dis04b.wav,disgust,female,31,italian,NP
DEMoS/DEMOS/NP_m_16_col11b.wav,guilt,male,16,italian,NP
DEMoS/DEMOS/NP_m_18_rab09b.wav,anger,male,18,italian,NP
DEMoS/DEMOS/NP_f_21_tri10b.wav,sadness,female,21,italian,NP
DEMoS/DEMOS/NP_m_68_gio01b.wav,happiness,male,68,italian,NP
DEMoS/DEMOS/NP_m_05_gio06b.wav,happiness,male,05,italian,NP
DEMoS/DEMOS/NP_m_06_rab14b.wav,anger,male,06,italian,NP
DEMoS/DEMOS/NP_m_50_dis16c.wav,disgust,male,50,italian,NP
DEMoS/DEMOS/NP_m_64_rab19b.wav,anger,male,64,italian,NP
DEMoS/DEMOS/NP_m_32_sor01c.wav,surprise,male,32,italian,NP
DEMoS/DEMOS/NP_f_31_tri17b.wav,sadness,female,31,italian,NP
DEMoS/DEMOS/NP_f_01_tri17b.wav,sadness,female,01,italian,NP
DEMoS/DEMOS/NP_f_47_sor08b.wav,surprise,female,47,italian,NP
DEMoS/DEMOS/NP_m_65_rab15b.wav,anger,male,65,italian,NP
DEMoS/DEMOS/NP_m_02_gio03b.wav,happiness,male,02,italian,NP
DEMoS/DEMOS/NP_f_56_sor09b.wav,surprise,female,56,italian,NP
DEMoS/DEMOS/NP_f_43_rab16b.wav,anger,female,43,italian,NP
DEMoS/DEMOS/NP_m_13_dis21b.wav,disgust,male,13,italian,NP
DEMoS/DEMOS/NP_f_48_tri02b.wav,sadness,female,48,italian,NP
DEMoS/DEMOS/NP_f_31_pau06b.wav,fear,female,31,italian,NP
DEMoS/DEMOS/NP_m_09_dis16b.wav,disgust,male,09,italian,NP
DEMoS/DEMOS/NP_f_55_gio05c.wav,happiness,female,55,italian,NP
DEMoS/DEMOS/NP_f_61_gio04b.wav,happiness,female,61,italian,NP
DEMoS/DEMOS/PR_m_59_dis05c.wav,disgust,male,59,italian,PR
DEMoS/DEMOS/NP_f_36_gio01c.wav,happiness,female,36,italian,NP
DEMoS/DEMOS/NP_f_44_dis13b.wav,disgust,female,44,italian,NP
DEMoS/DEMOS/PR_m_26_tri05b.wav,sadness,male,26,italian,PR
DEMoS/DEMOS/NP_f_22_pau09b.wav,fear,female,22,italian,NP
DEMoS/DEMOS/NP_f_56_gio20b.wav,happiness,female,56,italian,NP
DEMoS/DEMOS/PR_f_60_rab14b.wav,anger,female,60,italian,PR
DEMoS/DEMOS/PR_m_33_sor05b.wav,surprise,male,33,italian,PR
DEMoS/DEMOS/NP_f_54_gio02c.wav,happiness,female,54,italian,NP
DEMoS/DEMOS/NP_m_68_tri19b.wav,sadness,male,68,italian,NP
DEMoS/DEMOS/NP_m_02_sor08b.wav,surprise,male,02,italian,NP
DEMoS/DEMOS/NP_f_54_rab16b.wav,anger,female,54,italian,NP
DEMoS/DEMOS/NP_m_64_gio18b.wav,happiness,male,64,italian,NP
DEMoS/DEMOS/NP_f_46_pau10b.wav,fear,female,46,italian,NP
DEMoS/DEMOS/NP_m_52_rab05c.wav,anger,male,52,italian,NP
DEMoS/DEMOS/NP_f_47_dis04c.wav,disgust,female,47,italian,NP
DEMoS/DEMOS/NP_m_68_dis09b.wav,disgust,male,68,italian,NP
DEMoS/DEMOS/NP_f_54_pau10b.wav,fear,female,54,italian,NP
DEMoS/DEMOS/PR_m_50_col12b.wav,guilt,male,50,italian,PR
DEMoS/DEMOS/PR_f_22_col01b.wav,guilt,female,22,italian,PR
DEMoS/DEMOS/PR_f_56_sor01c.wav,surprise,female,56,italian,PR
DEMoS/DEMOS/PR_m_51_tri08b.wav,sadness,male,51,italian,PR
DEMoS/DEMOS/NP_f_47_pau06c.wav,fear,female,47,italian,NP
DEMoS/DEMOS/NP_m_63_col12b.wav,guilt,male,63,italian,NP
DEMoS/DEMOS/NP_m_04_pau09b.wav,fear,male,04,italian,NP
DEMoS/DEMOS/NP_m_25_dis16b.wav,disgust,male,25,italian,NP
DEMoS/DEMOS/NP_f_43_gio12b.wav,happiness,female,43,italian,NP
DEMoS/DEMOS/NP_f_36_gio06c.wav,happiness,female,36,italian,NP
DEMoS/DEMOS/NP_f_46_col06c.wav,guilt,female,46,italian,NP
DEMoS/DEMOS/NP_m_59_rab08b.wav,anger,male,59,italian,NP
DEMoS/DEMOS/PR_m_19_pau12b.wav,fear,male,19,italian,PR
DEMoS/DEMOS/NP_f_40_pau14b.wav,fear,female,40,italian,NP
DEMoS/DEMOS/NP_m_39_col13b.wav,guilt,male,39,italian,NP
DEMoS/DEMOS/NP_f_38_pau01c.wav,fear,female,38,italian,NP
DEMoS/DEMOS/PR_m_27_rab18b.wav,anger,male,27,italian,PR
DEMoS/DEMOS/NP_f_47_dis20b.wav,disgust,female,47,italian,NP
DEMoS/DEMOS/NP_m_09_gio04b.wav,happiness,male,09,italian,NP
DEMoS/DEMOS/NP_m_12_rab12b.wav,anger,male,12,italian,NP
DEMoS/DEMOS/NP_f_36_sor09b.wav,surprise,female,36,italian,NP
DEMoS/DEMOS/NP_m_28_dis02b.wav,disgust,male,28,italian,NP
