file,numeral,emotion,speaker,language1,language2,nationality,coordinates
00055.wav,60,bored,147,English,Fante,British,"(51.33, -0.01)"
00059.wav,80,bored,18,Spanish,English,Spanish,"(28.15,-15.42)"
00061.wav,30,excited,144,Arabic,English,Saudi Arabian,"(21.76, 39.12)"
00063.wav,13,neutral,57,English,Bengali,British,"(51.53,0.04)"
00064.wav,5,excited,57,English,Bengali,British,"(51.53,0.04)"
00065.wav,4,excited,37,Hindi,English,Indian,"(51.52,-0.04)"
00067.wav,100,excited,46,Chinese,,Chinese,"(43.88, 125.35)"
00070.wav,90,bored,32,Telugu,English,Indian,"(17.56, 78.45)"
00072.wav,30,bored,0,German,,German,"(52.52, 13.40)"
00073.wav,90,bored,116,Punjabi,Hindi,Indian,"(51.48, -0.05)"
00075.wav,7,excited,61,Tamil,English,Indian,"(51.54, 0.05)"
00076.wav,40,neutral,14,Malayalam,English,Indian,"(9.98,76.28)"
00077.wav,1,neutral,148,Arabic,English,Egyptian,"(51.55, 0.30)"
00078.wav,90,excited,93,Chinese,English,Chinese,"(30.53,104.06)"
00081.wav,9,question,76,Arabic,English,British,"(51.50, -0.58)"
00082.wav,3,excited,13,Marathi,Hindi,Indian,"(19.02, 72.81)"
00083.wav,13,neutral,16,Portuguese,English,Portuguese,"(40.66,-7.90)"
00084.wav,1000,question,41,,,,
00085.wav,3,excited,73,Chinese,English,Chinese,"(31.26,121.47)"
00087.wav,19,question,129,Urdu,Punjabi,Pakistani,"(51.51, 0.14)"
00089.wav,13,neutral,105,English,Punjabi,British,"(51.48,0.29)"
00091.wav,16,excited,89,Tulu,Kannada,Indian,"(12.97 , 77.59)"
00093.wav,10,bored,49,Chinese,,Chinese,"(39.93,116.44)"
00094.wav,1000000,question,135,Arabic,,Palestinian,"(31.89, 35.20)"
00095.wav,19,question,18,Spanish,English,Spanish,"(28.15,-15.42)"
00096.wav,70,excited,20,English,Yoruba,British,"(51.45, - 0.11)"
00099.wav,20,neutral,18,Spanish,English,Spanish,"(28.15,-15.42)"
00100.wav,18,question,6,Telugu,English,Indian,"(17.36, 78.47)"
00102.wav,30,bored,45,English,Hindi,Indian,"(25.20, 55.27)"
00103.wav,80,neutral,25,Cantonese,English,Hong Kong,"(22.28,114.15)"
00104.wav,1000,neutral,0,German,,German,"(52.52, 13.40)"
00105.wav,20,bored,45,English,Hindi,Indian,"(25.20, 55.27)"
00106.wav,30,neutral,148,Arabic,English,Egyptian,"(51.55, 0.30)"
00108.wav,15,bored,153,Greek,English,Greek,"(40.63, 22.94)"
00110.wav,13,excited,38,Arabic,English,British,"(51.56, -0.11)"
00111.wav,40,question,110,Hindi,,Indian,"(23.02, 72.57)"
00112.wav,8,question,2,Hindi,English,Indian,"(26.82, 75.62)"
00113.wav,90,question,145,Chinese,English,Chinese,"(51.52,-0.04)"
00114.wav,8,excited,24,Chinese,English,Chinese,"(23.13, 113,26)"
00115.wav,30,question,45,English,Hindi,Indian,"(25.20, 55.27)"
00117.wav,15,bored,82,Urdu,English,Indian,"(22.71, 75.85)"
00119.wav,14,bored,90,English,Igbo,Nigerian,"(6.4,3.4)"
00120.wav,40,bored,131,Polish,English,British,"(50.01, 20.98)"
00122.wav,15,neutral,63,,,,
00124.wav,1000000,excited,110,Hindi,,Indian,"(23.02, 72.57)"
00125.wav,20,excited,29,Hindi,English,Indian,"(25.61,85.07)"
00127.wav,1000000000,excited,69,Hindi,English,Indian,"(28.68,77.34)"
00129.wav,16,excited,17,Arabic,English,Saudi Arabian,"(24.71, 46.67)"
00130.wav,6,bored,93,Chinese,English,Chinese,"(30.53,104.06)"
00133.wav,3,question,35,Urdu,,Pakistani,"(51.58,-0.34)"
00135.wav,19,excited,53,English,,British,"(51.52, -0.09)"
00136.wav,1000000,excited,22,Marathi,English,Indian,"(18.52, 73.85)"
00137.wav,20,question,13,Marathi,Hindi,Indian,"(19.02, 72.81)"
00139.wav,16,neutral,132,English,,British,"(51.38, 2.36)"
00140.wav,3,neutral,22,Marathi,English,Indian,"(18.52, 73.85)"
00141.wav,12,question,153,Greek,English,Greek,"(40.63, 22.94)"
00143.wav,9,bored,81,Tamil,English,Indian,"(12.98,80.21)"
00144.wav,60,question,80,English,,Hong Kong,"(22.26, 114.16)"
00146.wav,2,neutral,104,Amharic,Dutch,Dutch,"(47.56, -52.70)"
00148.wav,19,neutral,132,English,,British,"(51.38, 2.36)"
00149.wav,17,bored,58,Hungarian,English,Hungarian,"(51.49, -0.02)"
00152.wav,9,neutral,37,Hindi,English,Indian,"(51.52,-0.04)"
00153.wav,0,neutral,14,Malayalam,English,Indian,"(9.98,76.28)"
00154.wav,14,excited,71,English,,British,"(51.56, 0.07)"
00155.wav,1,excited,3,,,,
00158.wav,50,excited,68,Tamil,English,Indian,"(51.34, 1.64)"
00161.wav,20,excited,85,English,Arabic,British,"(51.56,-0.25)"
00162.wav,3,excited,106,Tamil,English,Indian,"(51.52,-0.04)"
00163.wav,80,excited,135,Arabic,,Palestinian,"(31.89, 35.20)"
00165.wav,1000000000,neutral,122,Bengali,English,Bangladeshi,"(23.74,90.38)"
00166.wav,1000000000,question,82,Urdu,English,Indian,"(22.71, 75.85)"
00168.wav,20,neutral,51,Vietnamese,Polish,Polish,"(52.21,20.97)"
00169.wav,15,neutral,41,,,,
00170.wav,16,question,120,Romanian,English,Romanian,"(44.33,23.79)"
00171.wav,60,neutral,4,Urdu,English,Indian,"(51.52, -0.04)"
00173.wav,90,question,64,Nepalese,English,British,"51.26, -1.08"
00174.wav,14,excited,21,Chinese,English,Chinese,
00176.wav,12,excited,57,English,Bengali,British,"(51.53,0.04)"
00178.wav,50,bored,44,English,,Syrian,"(51.44, -0.21)"
00179.wav,9,excited,22,Marathi,English,Indian,"(18.52, 73.85)"
00181.wav,70,excited,61,Tamil,English,Indian,"(51.54, 0.05)"
00182.wav,18,neutral,134,Urdu,English,Pakistani,"(33.68, 73.04)"
00183.wav,9,question,40,,,,
00184.wav,11,question,46,Chinese,,Chinese,"(43.88, 125.35)"
00186.wav,11,excited,102,Yu,English,Chinese,"(32.05, 118.78)"
00187.wav,8,bored,83,,,,
00188.wav,5,excited,100,Gujarati,Hindi,Indian,"(51.53, 0.00)"
00189.wav,11,bored,13,Marathi,Hindi,Indian,"(19.02, 72.81)"
00191.wav,100,bored,71,English,,British,"(51.56, 0.07)"
00192.wav,7,neutral,92,,,,
00194.wav,1000000,question,36,Hindi,Bhojpuri,Indian,"(51.35,-0.17)"
00197.wav,1000000,question,29,Hindi,English,Indian,"(25.61,85.07)"
00199.wav,1000,question,34,Chinese,English,Chinese,"(30.45,121.57)"
00201.wav,1000,bored,7,Spanish,English,Uruguayan,"(-34.53,-56.10)"
00202.wav,100,question,38,Arabic,English,British,"(51.56, -0.11)"
00203.wav,15,question,7,Spanish,English,Uruguayan,"(-34.53,-56.10)"
00204.wav,1,bored,60,Amharic,English,British,"(51.53, -0.06)"
00205.wav,80,excited,91,Tamil,English,Indian,"(51.52,-0.04)"
00206.wav,7,neutral,107,Bravanese,English,British,"(51.57, -0.07)"
00208.wav,100,excited,5,English,German,British,"(51.50, -0.12)"
00209.wav,80,bored,108,English,,British,"(51.38, -0.10)"
00210.wav,9,excited,113,Cantonese,English,Hong Kong,"(22.29,114.17)"
00211.wav,2,neutral,80,English,,Hong Kong,"(22.26, 114.16)"
00212.wav,9,question,99,,,,
00213.wav,2,excited,3,,,,
00214.wav,16,question,23,English,German,British,"(51.50,0.13)"
00215.wav,16,neutral,136,Tamil,English,Indian,"(13.08, 80.27)"
00216.wav,20,excited,2,Hindi,English,Indian,"(26.82, 75.62)"
00218.wav,7,question,144,Arabic,English,Saudi Arabian,"(21.76, 39.12)"
00219.wav,7,excited,99,,,,
00220.wav,9,excited,37,Hindi,English,Indian,"(51.52,-0.04)"
00223.wav,4,question,119,English,German,German,"(51.49, -0.12)"
00224.wav,7,neutral,75,,,,
00226.wav,18,neutral,75,,,,
00227.wav,6,bored,42,Urdu,English,British,"(51.58, -0.27)"
00228.wav,2,neutral,90,English,Igbo,Nigerian,"(6.4,3.4)"
00230.wav,7,excited,112,Hindi,English,Indian,"(30.74,76.76)"
00231.wav,18,excited,53,English,,British,"(51.52, -0.09)"
00232.wav,18,question,139,Chinese,English,Chinese,"(30.35, 118.43)"
00233.wav,30,question,102,Yu,English,Chinese,"(32.05, 118.78)"
00237.wav,80,excited,129,Urdu,Punjabi,Pakistani,"(51.51, 0.14)"
00239.wav,1000000000,question,130,English,,British,
00241.wav,13,neutral,24,Chinese,English,Chinese,"(23.13, 113,26)"
00242.wav,17,excited,9,Dutch,English,Dutch,"(52.36, 4.90)"
00243.wav,11,question,136,Tamil,English,Indian,"(13.08, 80.27)"
00244.wav,80,neutral,153,Greek,English,Greek,"(40.63, 22.94)"
00245.wav,60,question,28,Chinese,English,Chinese,"(18.27,109.48)"
00246.wav,10,neutral,9,Dutch,English,Dutch,"(52.36, 4.90)"
00247.wav,100,excited,37,Hindi,English,Indian,"(51.52,-0.04)"
00248.wav,16,neutral,143,Urdu,English,British,"(51.54,0.04)"
00250.wav,16,excited,96,Bengali,English,Bangladeshi,"(51.52, -0.04)"
00251.wav,0,neutral,144,Arabic,English,Saudi Arabian,"(21.76, 39.12)"
00253.wav,11,question,16,Portuguese,English,Portuguese,"(40.66,-7.90)"
00255.wav,1000,question,92,,,,
00256.wav,20,neutral,96,Bengali,English,Bangladeshi,"(51.52, -0.04)"
00260.wav,19,bored,76,Arabic,English,British,"(51.50, -0.58)"
00261.wav,18,neutral,52,Chinese,English,Chinese,"(51.52,-0.04)"
00263.wav,0,question,5,English,German,British,"(51.50, -0.12)"
00264.wav,17,neutral,100,Gujarati,Hindi,Indian,"(51.53, 0.00)"
00265.wav,4,question,140,Malayalam,English,Indian,"(19.07,72.99)"
00266.wav,8,question,59,Hindi,English,Indian,"(19.07,72.87)"
00268.wav,9,excited,67,English,,British,"(50.72, -3.54)"
00269.wav,30,neutral,18,Spanish,English,Spanish,"(28.15,-15.42)"
00270.wav,90,excited,68,Tamil,English,Indian,"(51.34, 1.64)"
00271.wav,100,neutral,11,English,Filipino,Filipino,"(14.67, 121.04)"
00274.wav,3,question,39,English,Igbo,British,"(51.54,0.19)"
00275.wav,20,question,114,Sindhi,English,Irish,"(24.86,67.00)"
00276.wav,60,bored,24,Chinese,English,Chinese,"(23.13, 113,26)"
00277.wav,1,question,54,English,Hindi,Indian,"(13.08, 80.27)"
00278.wav,18,bored,59,Hindi,English,Indian,"(19.07,72.87)"
00279.wav,1000000000,excited,139,Chinese,English,Chinese,"(30.35, 118.43)"
00280.wav,18,excited,20,English,Yoruba,British,"(51.45, - 0.11)"
00282.wav,4,bored,103,English,Yoruba,Nigerian,"(51.37, -0.10)"
00283.wav,70,bored,37,Hindi,English,Indian,"(51.52,-0.04)"
00285.wav,13,excited,77,Spanish,English,Mexican,"(20.66, -103.39)"
00290.wav,1000000,bored,10,Chinese,English,Chinese,"(51.52,-0.04)"
00291.wav,100,excited,71,English,,British,"(51.56, 0.07)"
00292.wav,6,bored,38,Arabic,English,British,"(51.56, -0.11)"
00293.wav,4,question,69,Hindi,English,Indian,"(28.68,77.34)"
00294.wav,19,excited,99,,,,
00295.wav,60,bored,122,Bengali,English,Bangladeshi,"(23.74,90.38)"
00296.wav,3,excited,43,Dari,Urdu,Afghanistani,"(33.66, 72.99)"
00297.wav,8,neutral,33,English,,British,"(51.50, -0.10)"
00298.wav,100,excited,141,Urdu,English,Pakistani,"(24.86, 67.00)"
00301.wav,0,bored,4,Urdu,English,Indian,"(51.52, -0.04)"
00302.wav,7,excited,96,Bengali,English,Bangladeshi,"(51.52, -0.04)"
00303.wav,50,excited,135,Arabic,,Palestinian,"(31.89, 35.20)"
00304.wav,13,neutral,34,Chinese,English,Chinese,"(30.45,121.57)"
00305.wav,1000000,neutral,138,English,Italian,British,"(50.81, -3.50)"
00311.wav,13,neutral,144,Arabic,English,Saudi Arabian,"(21.76, 39.12)"
00312.wav,20,question,120,Romanian,English,Romanian,"(44.33,23.79)"
00313.wav,80,bored,35,Urdu,,Pakistani,"(51.58,-0.34)"
00314.wav,3,excited,91,Tamil,English,Indian,"(51.52,-0.04)"
00315.wav,5,question,62,English,Yoruba,British,"(51.52, -0.04)"
00316.wav,1000,excited,49,Chinese,,Chinese,"(39.93,116.44)"
00317.wav,30,question,51,Vietnamese,Polish,Polish,"(52.21,20.97)"
00318.wav,1000000000,bored,140,Malayalam,English,Indian,"(19.07,72.99)"
00319.wav,14,question,134,Urdu,English,Pakistani,"(33.68, 73.04)"
00320.wav,1,excited,100,Gujarati,Hindi,Indian,"(51.53, 0.00)"
00321.wav,20,neutral,31,English,French,British,"(52.21, 0.12)"
00322.wav,19,excited,63,,,,
00323.wav,4,neutral,95,Chinese,English,Chinese,"(39.4, 115.7)"
00325.wav,1000,excited,32,Telugu,English,Indian,"(17.56, 78.45)"
00326.wav,80,neutral,43,Dari,Urdu,Afghanistani,"(33.66, 72.99)"
00327.wav,20,excited,54,English,Hindi,Indian,"(13.08, 80.27)"
00328.wav,20,neutral,61,Tamil,English,Indian,"(51.54, 0.05)"
00329.wav,40,bored,143,Urdu,English,British,"(51.54,0.04)"
00331.wav,2,question,114,Sindhi,English,Irish,"(24.86,67.00)"
00332.wav,80,bored,46,Chinese,,Chinese,"(43.88, 125.35)"
00333.wav,100,excited,11,English,Filipino,Filipino,"(14.67, 121.04)"
00334.wav,50,question,153,Greek,English,Greek,"(40.63, 22.94)"
00335.wav,14,neutral,108,English,,British,"(51.38, -0.10)"
00336.wav,80,bored,61,Tamil,English,Indian,"(51.54, 0.05)"
00339.wav,9,neutral,85,English,Arabic,British,"(51.56,-0.25)"
00340.wav,100,excited,56,English,Twi,British,"(51.04, 0.17)"
00341.wav,10,bored,64,Nepalese,English,British,"51.26, -1.08"
00342.wav,1,neutral,101,Bengali,English,Indian,"(51.58,-0.43)"
00347.wav,14,neutral,25,Cantonese,English,Hong Kong,"(22.28,114.15)"
00349.wav,11,neutral,39,English,Igbo,British,"(51.54,0.19)"
00350.wav,18,neutral,4,Urdu,English,Indian,"(51.52, -0.04)"
00352.wav,8,excited,92,,,,
00353.wav,10,bored,25,Cantonese,English,Hong Kong,"(22.28,114.15)"
00354.wav,11,bored,23,English,German,British,"(51.50,0.13)"
00355.wav,15,question,68,Tamil,English,Indian,"(51.34, 1.64)"
00356.wav,11,question,24,Chinese,English,Chinese,"(23.13, 113,26)"
00357.wav,40,bored,69,Hindi,English,Indian,"(28.68,77.34)"
00358.wav,13,neutral,31,English,French,British,"(52.21, 0.12)"
00359.wav,6,excited,47,Greek,English,Greek,"(40.63, 22.93)"
00360.wav,17,bored,116,Punjabi,Hindi,Indian,"(51.48, -0.05)"
00362.wav,50,bored,41,,,,
00363.wav,90,question,146,English,Pashto,British,"(51.41,-0.30)"
00364.wav,70,question,20,English,Yoruba,British,"(51.45, - 0.11)"
00365.wav,50,neutral,145,Chinese,English,Chinese,"(51.52,-0.04)"
00367.wav,5,neutral,103,English,Yoruba,Nigerian,"(51.37, -0.10)"
00368.wav,6,neutral,72,English,,British,"(51.255, -0.31)"
00369.wav,11,neutral,153,Greek,English,Greek,"(40.63, 22.94)"
00370.wav,5,question,100,Gujarati,Hindi,Indian,"(51.53, 0.00)"
00371.wav,7,question,43,Dari,Urdu,Afghanistani,"(33.66, 72.99)"
00372.wav,90,neutral,111,English,,British,"(51.40, 0.10)"
00375.wav,10,neutral,33,English,,British,"(51.50, -0.10)"
00377.wav,8,neutral,47,Greek,English,Greek,"(40.63, 22.93)"
00381.wav,1,bored,105,English,Punjabi,British,"(51.48,0.29)"
00382.wav,13,neutral,139,Chinese,English,Chinese,"(30.35, 118.43)"
00384.wav,3,question,60,Amharic,English,British,"(51.53, -0.06)"
00385.wav,19,neutral,30,English,Malayalam,Indian,"(25.19, 55.29)"
00386.wav,20,neutral,73,Chinese,English,Chinese,"(31.26,121.47)"
00387.wav,2,question,9,Dutch,English,Dutch,"(52.36, 4.90)"
00389.wav,5,question,95,Chinese,English,Chinese,"(39.4, 115.7)"
00390.wav,8,bored,22,Marathi,English,Indian,"(18.52, 73.85)"
00391.wav,2,excited,131,Polish,English,British,"(50.01, 20.98)"
00392.wav,1000,excited,100,Gujarati,Hindi,Indian,"(51.53, 0.00)"
00393.wav,13,excited,81,Tamil,English,Indian,"(12.98,80.21)"
00394.wav,40,excited,33,English,,British,"(51.50, -0.10)"
00395.wav,20,neutral,100,Gujarati,Hindi,Indian,"(51.53, 0.00)"
00396.wav,1000000,neutral,35,Urdu,,Pakistani,"(51.58,-0.34)"
00397.wav,3,bored,9,Dutch,English,Dutch,"(52.36, 4.90)"
00398.wav,50,bored,143,Urdu,English,British,"(51.54,0.04)"
00402.wav,40,excited,105,English,Punjabi,British,"(51.48,0.29)"
00403.wav,30,bored,125,Vietnamese,English,British,"(51.51,0.00)"
00404.wav,2,neutral,127,Chinese,English,Malaysian,"(2.80, 101.79)"
00405.wav,9,neutral,119,English,German,German,"(51.49, -0.12)"
00408.wav,60,bored,125,Vietnamese,English,British,"(51.51,0.00)"
00409.wav,15,neutral,10,Chinese,English,Chinese,"(51.52,-0.04)"
00410.wav,90,neutral,138,English,Italian,British,"(50.81, -3.50)"
00413.wav,11,bored,61,Tamil,English,Indian,"(51.54, 0.05)"
00415.wav,11,neutral,85,English,Arabic,British,"(51.56,-0.25)"
00418.wav,5,excited,31,English,French,British,"(52.21, 0.12)"
00419.wav,13,neutral,116,Punjabi,Hindi,Indian,"(51.48, -0.05)"
00420.wav,16,bored,26,Hindi,English,Indian,"(24.19, 77.03)"
00423.wav,40,question,36,Hindi,Bhojpuri,Indian,"(51.35,-0.17)"
00424.wav,90,neutral,117,English,,British,"(51.64, -0.13)"
00425.wav,17,neutral,127,Chinese,English,Malaysian,"(2.80, 101.79)"
00426.wav,2,neutral,1,Chinese,,Chinese,"(51.52,-0.04)"
00429.wav,16,neutral,111,English,,British,"(51.40, 0.10)"
00430.wav,18,question,98,Kannada,English,Indian,"(12.93,77.52)"
00431.wav,16,neutral,109,English,Hindi,Indian,"(28.62,77.20)"
00432.wav,30,excited,117,English,,British,"(51.64, -0.13)"
00433.wav,1000000,bored,101,Bengali,English,Indian,"(51.58,-0.43)"
00434.wav,1000000,neutral,137,Urdu,English,Pakistani,"(24.86,67.00)"
00436.wav,40,excited,27,English,,British,"(51.54,-0.90)"
00437.wav,4,neutral,126,English,Yoruba,Nigerian,"(27.20, 77.49)"
00439.wav,1000000000,neutral,6,Telugu,English,Indian,"(17.36, 78.47)"
00440.wav,2,neutral,30,English,Malayalam,Indian,"(25.19, 55.29)"
00441.wav,100,bored,87,Punjabi,English,Indian,"(51.57,0.07)"
00443.wav,19,question,143,Urdu,English,British,"(51.54,0.04)"
00444.wav,8,question,39,English,Igbo,British,"(51.54,0.19)"
00445.wav,90,bored,144,Arabic,English,Saudi Arabian,"(21.76, 39.12)"
00446.wav,50,neutral,100,Gujarati,Hindi,Indian,"(51.53, 0.00)"
00447.wav,80,excited,51,Vietnamese,Polish,Polish,"(52.21,20.97)"
00448.wav,1000,neutral,148,Arabic,English,Egyptian,"(51.55, 0.30)"
00449.wav,18,excited,117,English,,British,"(51.64, -0.13)"
00450.wav,19,excited,132,English,,British,"(51.38, 2.36)"
00451.wav,0,question,128,Portuguese,Spanish,Portuguese,"(38.90,-9.03)"
00452.wav,0,bored,128,Portuguese,Spanish,Portuguese,"(38.90,-9.03)"
00453.wav,5,excited,148,Arabic,English,Egyptian,"(51.55, 0.30)"
00455.wav,15,bored,81,Tamil,English,Indian,"(12.98,80.21)"
00456.wav,17,neutral,117,English,,British,"(51.64, -0.13)"
00458.wav,100,excited,115,Russian,Polish,Lithuanian,"(54.68, 25.27)"
00459.wav,5,bored,96,Bengali,English,Bangladeshi,"(51.52, -0.04)"
00461.wav,3,bored,20,English,Yoruba,British,"(51.45, - 0.11)"
00463.wav,13,question,126,English,Yoruba,Nigerian,"(27.20, 77.49)"
00464.wav,2,bored,68,Tamil,English,Indian,"(51.34, 1.64)"
00465.wav,14,excited,144,Arabic,English,Saudi Arabian,"(21.76, 39.12)"
00468.wav,9,question,101,Bengali,English,Indian,"(51.58,-0.43)"
00469.wav,13,neutral,110,Hindi,,Indian,"(23.02, 72.57)"
00470.wav,18,bored,143,Urdu,English,British,"(51.54,0.04)"
00471.wav,4,question,120,Romanian,English,Romanian,"(44.33,23.79)"
00472.wav,11,question,80,English,,Hong Kong,"(22.26, 114.16)"
00474.wav,30,question,129,Urdu,Punjabi,Pakistani,"(51.51, 0.14)"
00475.wav,2,bored,54,English,Hindi,Indian,"(13.08, 80.27)"
00478.wav,8,neutral,125,Vietnamese,English,British,"(51.51,0.00)"
00480.wav,1000000,bored,28,Chinese,English,Chinese,"(18.27,109.48)"
00481.wav,8,bored,104,Amharic,Dutch,Dutch,"(47.56, -52.70)"
00482.wav,4,question,137,Urdu,English,Pakistani,"(24.86,67.00)"
00483.wav,7,bored,23,English,German,British,"(51.50,0.13)"
00484.wav,16,excited,83,,,,
00486.wav,6,bored,67,English,,British,"(50.72, -3.54)"
00487.wav,15,question,50,Tamil,English,Indian,"(51.52,-0.04)"
00488.wav,1,neutral,89,Tulu,Kannada,Indian,"(12.97 , 77.59)"
00490.wav,3,neutral,29,Hindi,English,Indian,"(25.61,85.07)"
00492.wav,1,excited,29,Hindi,English,Indian,"(25.61,85.07)"
00493.wav,70,excited,71,English,,British,"(51.56, 0.07)"
00494.wav,50,excited,41,,,,
00496.wav,40,neutral,48,Gujarati,English,Indian,"(19.07, 72.87)"
00501.wav,19,bored,139,Chinese,English,Chinese,"(30.35, 118.43)"
00502.wav,18,question,68,Tamil,English,Indian,"(51.34, 1.64)"
00503.wav,30,bored,55,Persian,English,Iranian,"(51.52,-0.04)"
00504.wav,19,neutral,17,Arabic,English,Saudi Arabian,"(24.71, 46.67)"
00505.wav,90,excited,147,English,Fante,British,"(51.33, -0.01)"
00506.wav,15,question,151,Hindi,,Indian,"(51.52, -0.04)"
00507.wav,5,excited,100,Gujarati,Hindi,Indian,"(51.53, 0.00)"
00508.wav,90,neutral,11,English,Filipino,Filipino,"(14.67, 121.04)"
00509.wav,1,question,12,Italian,English,Italian,"(43.61, 13.53)"
00513.wav,14,neutral,97,Marathi,English,Indian,"(18.64, 73.78)"
00514.wav,90,excited,30,English,Malayalam,Indian,"(25.19, 55.29)"
00516.wav,40,excited,119,English,German,German,"(51.49, -0.12)"
00517.wav,12,neutral,66,English,,British,"(51.477,0.190)"
00518.wav,16,excited,110,Hindi,,Indian,"(23.02, 72.57)"
00520.wav,4,question,20,English,Yoruba,British,"(51.45, - 0.11)"
00522.wav,1000000,question,66,English,,British,"(51.477,0.190)"
00523.wav,1000000,excited,77,Spanish,English,Mexican,"(20.66, -103.39)"
00526.wav,8,question,143,Urdu,English,British,"(51.54,0.04)"
00527.wav,4,neutral,35,Urdu,,Pakistani,"(51.58,-0.34)"
00528.wav,7,neutral,68,Tamil,English,Indian,"(51.34, 1.64)"
00529.wav,100,question,4,Urdu,English,Indian,"(51.52, -0.04)"
00531.wav,1,bored,97,Marathi,English,Indian,"(18.64, 73.78)"
00533.wav,3,bored,53,English,,British,"(51.52, -0.09)"
00534.wav,11,excited,23,English,German,British,"(51.50,0.13)"
00536.wav,12,excited,1,Chinese,,Chinese,"(51.52,-0.04)"
00537.wav,40,excited,22,Marathi,English,Indian,"(18.52, 73.85)"
00539.wav,5,excited,107,Bravanese,English,British,"(51.57, -0.07)"
00540.wav,19,excited,77,Spanish,English,Mexican,"(20.66, -103.39)"
00541.wav,19,neutral,68,Tamil,English,Indian,"(51.34, 1.64)"
00543.wav,80,bored,1,Chinese,,Chinese,"(51.52,-0.04)"
00544.wav,60,question,32,Telugu,English,Indian,"(17.56, 78.45)"
00545.wav,1000000000,question,19,,,,
00546.wav,15,bored,114,Sindhi,English,Irish,"(24.86,67.00)"
00547.wav,8,neutral,12,Italian,English,Italian,"(43.61, 13.53)"
00548.wav,30,neutral,115,Russian,Polish,Lithuanian,"(54.68, 25.27)"
00550.wav,50,question,79,Arabic,English,Egyptian,"(30.02,31.50)"
00553.wav,6,bored,89,Tulu,Kannada,Indian,"(12.97 , 77.59)"
00555.wav,12,neutral,104,Amharic,Dutch,Dutch,"(47.56, -52.70)"
00556.wav,1,question,14,Malayalam,English,Indian,"(9.98,76.28)"
00558.wav,70,neutral,52,Chinese,English,Chinese,"(51.52,-0.04)"
00559.wav,5,neutral,91,Tamil,English,Indian,"(51.52,-0.04)"
00560.wav,8,excited,115,Russian,Polish,Lithuanian,"(54.68, 25.27)"
00562.wav,60,neutral,97,Marathi,English,Indian,"(18.64, 73.78)"
00563.wav,15,question,107,Bravanese,English,British,"(51.57, -0.07)"
00565.wav,60,neutral,102,Yu,English,Chinese,"(32.05, 118.78)"
00566.wav,0,question,34,Chinese,English,Chinese,"(30.45,121.57)"
00568.wav,8,neutral,68,Tamil,English,Indian,"(51.34, 1.64)"
00570.wav,9,bored,59,Hindi,English,Indian,"(19.07,72.87)"
00571.wav,11,question,138,English,Italian,British,"(50.81, -3.50)"
00572.wav,1000000,bored,48,Gujarati,English,Indian,"(19.07, 72.87)"
00574.wav,15,neutral,28,Chinese,English,Chinese,"(18.27,109.48)"
00577.wav,15,question,117,English,,British,"(51.64, -0.13)"
