file,speaker,emotion,gender
AESDD/fear/f05 (6).wav,6,fear,female
AESDD/fear/f02 (2).wav,2,fear,female
AESDD/fear/f15 (5).wav,5,fear,male
AESDD/fear/f07 (4).wav,4,fear,female
AESDD/fear/f13 (4).wav,4,fear,female
AESDD/fear/f10 (3).wav,3,fear,male
AESDD/fear/f04 (3).wav,3,fear,male
AESDD/fear/f08 (2).wav,2,fear,female
AESDD/fear/f16 (5).wav,5,fear,male
AESDD/fear/f15 (6).wav,6,fear,female
AESDD/fear/f09 (1).wav,1,fear,male
AESDD/fear/f17 (3).wav,3,fear,male
AESDD/fear/f09 (2).wav,2,fear,female
AESDD/fear/f19 (6).wav,6,fear,female
AESDD/fear/f05 (5).wav,5,fear,male
AESDD/fear/f06 (5).wav,5,fear,male
AESDD/fear/f12 (2).wav,2,fear,female
AESDD/fear/f06 (6).wav,6,fear,female
AESDD/fear/f04 (6).wav,6,fear,female
AESDD/fear/f19 (4).wav,4,fear,female
AESDD/fear/f16 (3).wav,3,fear,male
AESDD/fear/f01 (3).wav,3,fear,male
AESDD/fear/f11 (01).wav,1,fear,male
AESDD/fear/f16 (2).wav,2,fear,female
AESDD/fear/f01 (1).wav,1,fear,male
AESDD/fear/f14 (3).wav,3,fear,male
AESDD/fear/f07 (6).wav,6,fear,female
AESDD/fear/f08 (4).wav,4,fear,female
AESDD/fear/f09 (3).wav,3,fear,male
AESDD/fear/f14 (5).wav,5,fear,male
AESDD/fear/f08 (1).wav,1,fear,male
AESDD/fear/f13 (3).wav,3,fear,male
AESDD/fear/f05 (2).wav,2,fear,female
AESDD/fear/f10 (6).wav,6,fear,female
AESDD/fear/f03 (2).wav,2,fear,female
AESDD/fear/f12 (5).wav,5,fear,male
AESDD/fear/f10 (5).wav,5,fear,male
AESDD/fear/f18 (6).wav,6,fear,female
AESDD/fear/f19 (3).wav,3,fear,male
AESDD/fear/f19 (1).wav,1,fear,male
AESDD/fear/f14 (4).wav,4,fear,female
AESDD/fear/f03 (1).wav,1,fear,male
AESDD/fear/f17 (1).wav,1,fear,male
AESDD/fear/f06 (2).wav,2,fear,female
AESDD/fear/f08 (6).wav,6,fear,female
AESDD/fear/f12 (6).wav,6,fear,female
AESDD/fear/f07 (5).wav,5,fear,male
AESDD/fear/f01 (5).wav,5,fear,male
AESDD/fear/f04 (2).wav,2,fear,female
AESDD/fear/f07 (3).wav,3,fear,male
AESDD/fear/f15 (3).wav,3,fear,male
AESDD/fear/f15 (1).wav,1,fear,male
AESDD/fear/f20 (4).wav,4,fear,female
AESDD/fear/f15 (4).wav,4,fear,female
AESDD/disgust/d19 (3).wav,3,disgust,male
AESDD/disgust/d19 (4).wav,4,disgust,female
AESDD/disgust/d08 (3).wav,3,disgust,male
AESDD/disgust/d01 (5).wav,5,disgust,male
AESDD/disgust/d02 (5).wav,5,disgust,male
AESDD/disgust/d16 (3).wav,3,disgust,male
AESDD/disgust/d18 (6).wav,6,disgust,female
AESDD/disgust/d08 (2).wav,2,disgust,female
AESDD/disgust/d12 (2).wav,2,disgust,female
AESDD/disgust/d06 (4).wav,4,disgust,female
AESDD/disgust/d12 (4).wav,4,disgust,female
AESDD/disgust/d15 (4).wav,4,disgust,female
AESDD/disgust/d17 (1).wav,1,disgust,male
AESDD/disgust/d16 (5).wav,5,disgust,male
AESDD/disgust/d16 (1).wav,1,disgust,male
AESDD/disgust/d13 (5).wav,5,disgust,male
AESDD/disgust/d08 (1).wav,1,disgust,male
AESDD/disgust/d11 (3).wav,3,disgust,male
AESDD/disgust/d17 (2).wav,2,disgust,female
AESDD/disgust/d17 (5).wav,5,disgust,male
AESDD/disgust/d08 (5).wav,5,disgust,male
AESDD/disgust/d13 (2).wav,2,disgust,female
AESDD/disgust/d18 (3).wav,3,disgust,male
AESDD/disgust/d19 (2).wav,2,disgust,female
AESDD/disgust/d10 (6).wav,6,disgust,female
AESDD/disgust/d04 (3).wav,3,disgust,male
AESDD/disgust/d02 (2).wav,2,disgust,female
AESDD/disgust/d08 (6).wav,6,disgust,female
AESDD/disgust/d01 (1).wav,1,disgust,male
AESDD/disgust/d18 (1).wav,1,disgust,male
AESDD/disgust/d04 (5)b.wav,5,disgust,male
AESDD/disgust/d01 (5)b.wav,5,disgust,male
AESDD/disgust/d14 (6).wav,6,disgust,female
AESDD/disgust/d17 (3).wav,3,disgust,male
AESDD/disgust/d20 (4).wav,4,disgust,female
AESDD/disgust/d08 (4).wav,4,disgust,female
AESDD/disgust/d07 (4).wav,4,disgust,female
AESDD/disgust/d07 (2).wav,2,disgust,female
AESDD/disgust/d10 (3).wav,3,disgust,male
AESDD/disgust/d16 (4).wav,4,disgust,female
AESDD/disgust/d11 (5).wav,5,disgust,male
AESDD/disgust/d07 (5).wav,5,disgust,male
AESDD/disgust/d16 (2).wav,2,disgust,female
AESDD/disgust/d03 (5)b.wav,5,disgust,male
AESDD/disgust/d16 (6).wav,6,disgust,female
AESDD/disgust/d17 (4).wav,4,disgust,female
AESDD/disgust/d13 (6).wav,6,disgust,female
AESDD/disgust/d03 (01).wav,1,disgust,male
AESDD/disgust/d09 (6).wav,6,disgust,female
AESDD/disgust/d03 (5).wav,5,disgust,male
AESDD/disgust/d05 (2).wav,2,disgust,female
AESDD/disgust/d15 (1).wav,1,disgust,male
AESDD/disgust/d10 (4).wav,4,disgust,female
AESDD/disgust/d14 (5).wav,5,disgust,male
AESDD/disgust/d15 (3).wav,3,disgust,male
AESDD/disgust/d11 (6).wav,6,disgust,female
AESDD/disgust/d09 (2).wav,2,disgust,female
AESDD/disgust/d06 (2).wav,2,disgust,female
AESDD/disgust/d03 (6).wav,6,disgust,female
AESDD/disgust/d11 (4).wav,4,disgust,female
AESDD/disgust/d09 (3).wav,3,disgust,male
AESDD/disgust/d18 (4).wav,4,disgust,female
AESDD/disgust/d15 (6).wav,6,disgust,female
AESDD/disgust/d04 (2).wav,2,disgust,female
AESDD/disgust/d15 (2).wav,2,disgust,female
AESDD/disgust/d14 (4).wav,4,disgust,female
AESDD/disgust/d06 (6).wav,6,disgust,female
AESDD/disgust/d20 (2).wav,2,disgust,female
AESDD/disgust/d03 (4).wav,4,disgust,female
AESDD/disgust/d01 (4).wav,4,disgust,female
AESDD/disgust/d09 (5).wav,5,disgust,male
AESDD/disgust/d02 (4).wav,4,disgust,female
AESDD/disgust/d03 (3).wav,3,disgust,male
AESDD/disgust/d20 (5).wav,5,disgust,male
AESDD/disgust/d19 (1).wav,1,disgust,male
AESDD/disgust/d04 (6).wav,6,disgust,female
AESDD/disgust/d12 (3).wav,3,disgust,male
AESDD/disgust/d10 (2).wav,2,disgust,female
AESDD/disgust/d12 (5).wav,5,disgust,male
AESDD/disgust/d06 (5).wav,5,disgust,male
AESDD/disgust/d11 (2).wav,2,disgust,female
AESDD/disgust/d01 (3).wav,3,disgust,male
AESDD/disgust/d14 (1).wav,1,disgust,male
AESDD/disgust/d09 (4).wav,4,disgust,female
AESDD/disgust/d02 (6).wav,6,disgust,female
AESDD/disgust/d20 (3).wav,3,disgust,male
AESDD/disgust/d06 (3).wav,3,disgust,male
AESDD/disgust/d07 (6).wav,6,disgust,female
AESDD/disgust/d20 (6).wav,6,disgust,female
AESDD/disgust/d17 (6).wav,6,disgust,female
AESDD/disgust/d19 (6).wav,6,disgust,female
AESDD/disgust/d04 (1).wav,1,disgust,male
AESDD/disgust/d14 (2).wav,2,disgust,female
AESDD/disgust/d13 (1).wav,1,disgust,male
AESDD/disgust/d20 (1).wav,1,disgust,male
AESDD/disgust/d05 (5).wav,5,disgust,male
AESDD/disgust/d06 (1).wav,1,disgust,male
AESDD/disgust/d02 (1).wav,1,disgust,male
AESDD/disgust/d12 (6).wav,6,disgust,female
AESDD/disgust/d04 (5).wav,5,disgust,male
AESDD/disgust/d05 (1).wav,1,disgust,male
AESDD/disgust/d01 (6).wav,6,disgust,female
AESDD/disgust/d02 (3).wav,3,disgust,male
AESDD/disgust/d15 (5).wav,5,disgust,male
AESDD/disgust/d12 (1).wav,1,disgust,male
AESDD/disgust/d05 (3).wav,3,disgust,male
AESDD/disgust/d05 (4).wav,4,disgust,female
AESDD/disgust/d19 (5).wav,5,disgust,male
AESDD/disgust/d10 (1).wav,1,disgust,male
AESDD/disgust/d10 (5).wav,5,disgust,male
AESDD/disgust/d04 (4).wav,4,disgust,female
AESDD/disgust/d13 (3).wav,3,disgust,male
AESDD/disgust/d07 (1).wav,1,disgust,male
AESDD/disgust/d11 (1).wav,1,disgust,male
AESDD/disgust/d18 (2).wav,2,disgust,female
AESDD/disgust/d07 (3).wav,3,disgust,male
AESDD/disgust/d03 (2).wav,2,disgust,female
AESDD/disgust/d14 (3).wav,3,disgust,male
AESDD/disgust/d13 (4).wav,4,disgust,female
AESDD/disgust/d09 (1).wav,1,disgust,male
AESDD/disgust/d01 (2).wav,2,disgust,female
AESDD/disgust/d05 (6).wav,6,disgust,female
AESDD/sadness/s13 (4).wav,4,sadness,female
AESDD/sadness/s03 (4).wav,4,sadness,female
AESDD/sadness/s18 (3).wav,3,sadness,male
AESDD/sadness/s17 (2).wav,2,sadness,female
AESDD/sadness/s02 (4).wav,4,sadness,female
AESDD/sadness/s01 (4).wav,4,sadness,female
AESDD/sadness/s07 (5).wav,5,sadness,male
AESDD/sadness/s06 (5).wav,5,sadness,male
AESDD/sadness/s20 (6).wav,6,sadness,female
AESDD/sadness/s08 (3).wav,3,sadness,male
AESDD/sadness/s15 (3).wav,3,sadness,male
AESDD/sadness/s10 (6).wav,6,sadness,female
AESDD/sadness/s18 (5).wav,5,sadness,male
AESDD/sadness/s08 (5).wav,5,sadness,male
AESDD/sadness/s10 (5).wav,5,sadness,male
AESDD/sadness/s04 (4).wav,4,sadness,female
AESDD/sadness/s02 (5).wav,5,sadness,male
AESDD/sadness/s14 (3).wav,3,sadness,male
AESDD/sadness/s06 (4).wav,4,sadness,female
AESDD/sadness/s16 (2).wav,2,sadness,female
AESDD/sadness/s16 (1).wav,1,sadness,male
AESDD/sadness/s16 (6).wav,6,sadness,female
AESDD/sadness/s03 (3).wav,3,sadness,male
AESDD/sadness/s08 (4).wav,4,sadness,female
AESDD/sadness/s16 (3).wav,3,sadness,male
AESDD/sadness/s16 (5).wav,5,sadness,male
AESDD/sadness/s06 (2).wav,2,sadness,female
AESDD/sadness/s08 (2).wav,2,sadness,female
AESDD/sadness/s19 (1).wav,1,sadness,male
AESDD/sadness/s04 (6).wav,6,sadness,female
AESDD/sadness/s19 (5).wav,5,sadness,male
AESDD/sadness/s05 (6).wav,6,sadness,female
AESDD/sadness/s10 (2).wav,2,sadness,female
AESDD/sadness/s02 (1).wav,1,sadness,male
AESDD/sadness/s17 (1).wav,1,sadness,male
AESDD/sadness/s13 (3).wav,3,sadness,male
AESDD/sadness/s11 (1).wav,1,sadness,male
AESDD/sadness/s10 (1).wav,1,sadness,male
AESDD/sadness/s20 (5).wav,5,sadness,male
AESDD/sadness/s12 (5).wav,5,sadness,male
AESDD/sadness/s12 (6).wav,6,sadness,female
AESDD/sadness/s15 (6).wav,6,sadness,female
AESDD/sadness/s18 (6).wav,6,sadness,female
AESDD/sadness/s02 (5)b.wav,5,sadness,male
AESDD/sadness/s14 (5).wav,5,sadness,male
AESDD/sadness/s20 (3).wav,3,sadness,male
AESDD/sadness/s15 (1).wav,1,sadness,male
AESDD/sadness/s01 (5)a.wav,5,sadness,male
AESDD/sadness/s01 (6).wav,6,sadness,female
AESDD/sadness/s09 (2).wav,2,sadness,female
AESDD/sadness/s15 (5).wav,5,sadness,male
AESDD/sadness/s04 (5)b.wav,5,sadness,male
AESDD/sadness/s13 (5).wav,5,sadness,male
AESDD/sadness/s02 (3).wav,3,sadness,male
AESDD/sadness/s04 (3).wav,3,sadness,male
AESDD/sadness/s20 (1).wav,1,sadness,male
AESDD/sadness/s06 (3).wav,3,sadness,male
AESDD/sadness/s10 (3).wav,3,sadness,male
AESDD/sadness/s05 (5).wav,5,sadness,male
AESDD/sadness/s19 (6).wav,6,sadness,female
AESDD/sadness/s07 (2).wav,2,sadness,female
AESDD/sadness/s03 (6).wav,6,sadness,female
AESDD/sadness/s11 (5).wav,5,sadness,male
AESDD/sadness/s12 (1).wav,1,sadness,male
AESDD/sadness/s14 (4).wav,4,sadness,female
AESDD/sadness/s19 (4).wav,4,sadness,female
AESDD/sadness/s17 (5).wav,5,sadness,male
AESDD/sadness/s15 (4).wav,4,sadness,female
AESDD/sadness/s11 (4).wav,4,sadness,female
AESDD/sadness/s20 (4).wav,4,sadness,female
AESDD/sadness/s02 (6).wav,6,sadness,female
AESDD/sadness/s16 (4).wav,4,sadness,female
AESDD/sadness/s09 (6).wav,6,sadness,female
AESDD/sadness/s01 (1).wav,1,sadness,male
AESDD/sadness/s14 (1).wav,1,sadness,male
AESDD/sadness/s09 (4).wav,4,sadness,female
AESDD/sadness/s11 (3).wav,3,sadness,male
AESDD/sadness/s17 (4).wav,4,sadness,female
AESDD/sadness/s14 (6).wav,6,sadness,female
AESDD/sadness/s03 (5).wav,5,sadness,male
AESDD/sadness/s05 (2).wav,2,sadness,female
AESDD/sadness/s20 (2).wav,2,sadness,female
AESDD/sadness/s12 (3).wav,3,sadness,male
AESDD/sadness/s18 (2).wav,2,sadness,female
AESDD/sadness/s09 (1).wav,1,sadness,male
AESDD/sadness/s03 (1).wav,1,sadness,male
AESDD/sadness/s06 (1).wav,1,sadness,male
AESDD/sadness/s04 (2).wav,2,sadness,female
AESDD/sadness/s11 (2).wav,2,sadness,female
AESDD/sadness/s11 (6).wav,6,sadness,female
AESDD/sadness/s01 (3).wav,3,sadness,male
AESDD/sadness/s01 (5)b.wav,5,sadness,male
AESDD/sadness/s12 (4).wav,4,sadness,female
AESDD/sadness/s18 (4).wav,4,sadness,female
AESDD/sadness/s09 (3).wav,3,sadness,male
AESDD/sadness/s13 (1).wav,1,sadness,male
AESDD/sadness/s04 (1).wav,1,sadness,male
AESDD/sadness/s10 (4).wav,4,sadness,female
AESDD/sadness/s08 (1).wav,1,sadness,male
AESDD/sadness/s03 (2).wav,2,sadness,female
AESDD/sadness/s07 (4).wav,4,sadness,female
AESDD/sadness/s02 (2).wav,2,sadness,female
AESDD/sadness/s14 (2).wav,2,sadness,female
AESDD/sadness/s15 (2).wav,2,sadness,female
AESDD/sadness/s05 (1).wav,1,sadness,male
AESDD/sadness/s17 (3).wav,3,sadness,male
AESDD/sadness/s01 (2).wav,2,sadness,female
AESDD/sadness/s07 (3).wav,3,sadness,male
AESDD/sadness/s19 (3).wav,3,sadness,male
AESDD/sadness/s08 (6).wav,6,sadness,female
AESDD/sadness/s19 (2).wav,2,sadness,female
AESDD/sadness/s09 (5).wav,5,sadness,male
AESDD/sadness/s12 (2).wav,2,sadness,female
AESDD/sadness/s17 (6).wav,6,sadness,female
AESDD/sadness/s06 (6).wav,6,sadness,female
AESDD/sadness/s04 (5).wav,5,sadness,male
AESDD/sadness/s05 (4).wav,4,sadness,female
AESDD/sadness/s13 (6).wav,6,sadness,female
AESDD/sadness/s07 (1).wav,1,sadness,male
AESDD/sadness/s07 (6).wav,6,sadness,female
AESDD/sadness/s18 (1).wav,1,sadness,male
AESDD/sadness/s13 (2).wav,2,sadness,female
AESDD/happiness/h03 (1).wav,1,happiness,male
AESDD/happiness/h14 (6).wav,6,happiness,female
AESDD/happiness/h07 (5).wav,5,happiness,male
AESDD/happiness/h08 (5).wav,5,happiness,male
AESDD/happiness/h05 (3).wav,3,happiness,male
AESDD/happiness/h17 (3).wav,3,happiness,male
AESDD/happiness/h17 (5).wav,5,happiness,male
AESDD/happiness/h14 (5).wav,5,happiness,male
AESDD/happiness/h05 (6).wav,6,happiness,female
AESDD/happiness/h13 (1).wav,1,happiness,male
AESDD/happiness/h15 (3).wav,3,happiness,male
AESDD/happiness/h03 (4).wav,4,happiness,female
AESDD/happiness/h01 (2).wav,2,happiness,female
AESDD/happiness/h02 (6).wav,6,happiness,female
AESDD/happiness/h03 (2).wav,2,happiness,female
AESDD/happiness/h09 (4).wav,4,happiness,female
AESDD/happiness/h02 (4).wav,4,happiness,female
AESDD/happiness/h02 (1).wav,1,happiness,male
AESDD/happiness/h10 (3).wav,3,happiness,male
AESDD/happiness/h14 (2).wav,2,happiness,female
AESDD/happiness/h09 (3).wav,3,happiness,male
AESDD/happiness/h18 (3).wav,3,happiness,male
AESDD/happiness/h16 (1).wav,1,happiness,male
AESDD/happiness/h19 (5).wav,5,happiness,male
AESDD/happiness/h10 (2).wav,2,happiness,female
AESDD/happiness/h04 (2).wav,2,happiness,female
AESDD/happiness/h10 (1).wav,1,happiness,male
AESDD/happiness/h08 (2).wav,2,happiness,female
AESDD/happiness/h08 (6).wav,6,happiness,female
AESDD/happiness/h04 (6).wav,6,happiness,female
AESDD/happiness/h16 (3).wav,3,happiness,male
AESDD/happiness/h03 (6).wav,6,happiness,female
AESDD/happiness/h18 (5).wav,5,happiness,male
AESDD/happiness/h01 (1).wav,1,happiness,male
AESDD/happiness/h02 (2).wav,2,happiness,female
AESDD/happiness/h14 (3).wav,3,happiness,male
AESDD/happiness/h20 (6).wav,6,happiness,female
AESDD/happiness/h15 (5).wav,5,happiness,male
AESDD/happiness/h14 (1).wav,1,happiness,male
AESDD/happiness/h05 (5).wav,5,happiness,male
AESDD/happiness/h11 (2).wav,2,happiness,female
AESDD/happiness/h20 (1).wav,1,happiness,male
AESDD/happiness/h02 (5).wav,5,happiness,male
AESDD/happiness/h09 (2).wav,2,happiness,female
AESDD/happiness/h18 (4).wav,4,happiness,female
AESDD/happiness/h18 (2).wav,2,happiness,female
AESDD/happiness/h04 (5).wav,5,happiness,male
AESDD/happiness/h20 (5).wav,5,happiness,male
AESDD/happiness/h19 (1).wav,1,happiness,male
AESDD/happiness/h01 (3).wav,3,happiness,male
AESDD/happiness/h05 (2).wav,2,happiness,female
AESDD/happiness/h03 (3).wav,3,happiness,male
AESDD/happiness/h01 (4).wav,4,happiness,female
AESDD/happiness/h14 (4).wav,4,happiness,female
AESDD/happiness/h06 (5).wav,5,happiness,male
AESDD/happiness/h12 (1).wav,1,happiness,male
AESDD/happiness/h06 (6).wav,6,happiness,female
AESDD/happiness/h01 (6).wav,6,happiness,female
AESDD/happiness/h18 (1).wav,1,happiness,male
AESDD/happiness/h06 (2).wav,2,happiness,female
AESDD/happiness/h12 (5).wav,5,happiness,male
AESDD/happiness/h20 (4).wav,4,happiness,female
AESDD/happiness/h07 (6).wav,6,happiness,female
AESDD/happiness/h20 (3).wav,3,happiness,male
AESDD/happiness/h19 (2).wav,2,happiness,female
AESDD/happiness/h06 (4).wav,4,happiness,female
AESDD/happiness/h16 (5).wav,5,happiness,male
AESDD/happiness/h15 (1).wav,1,happiness,male
AESDD/happiness/h09 (1).wav,1,happiness,male
AESDD/happiness/h13 (3).wav,3,happiness,male
AESDD/happiness/h16 (4).wav,4,happiness,female
AESDD/happiness/h09 (5).wav,5,happiness,male
AESDD/happiness/h02 (3).wav,3,happiness,male
AESDD/happiness/h13 (2).wav,2,happiness,female
AESDD/happiness/h16 (2).wav,2,happiness,female
AESDD/happiness/h17 (1).wav,1,happiness,male
AESDD/happiness/h09 (6).wav,6,happiness,female
AESDD/happiness/h20 (2).wav,2,happiness,female
AESDD/happiness/h07 (3).wav,3,happiness,male
AESDD/happiness/h17 (6).wav,6,happiness,female
AESDD/happiness/h05 (4).wav,4,happiness,female
AESDD/happiness/h11 (4).wav,4,happiness,female
AESDD/happiness/h13 (4).wav,4,happiness,female
AESDD/happiness/h16 (6).wav,6,happiness,female
AESDD/happiness/h12 (4).wav,4,happiness,female
AESDD/happiness/h11 (1).wav,1,happiness,male
AESDD/happiness/h13 (5).wav,5,happiness,male
AESDD/happiness/h19 (3).wav,3,happiness,male
AESDD/happiness/h10 (5).wav,5,happiness,male
AESDD/happiness/h07 (1).wav,1,happiness,male
AESDD/happiness/h08 (3).wav,3,happiness,male
AESDD/happiness/h01 (5).wav,5,happiness,male
AESDD/happiness/h17 (4).wav,4,happiness,female
AESDD/happiness/h04 (3).wav,3,happiness,male
AESDD/happiness/h13 (6).wav,6,happiness,female
AESDD/happiness/h07 (4).wav,4,happiness,female
AESDD/happiness/h05 (1).wav,1,happiness,male
AESDD/happiness/h12 (3).wav,3,happiness,male
AESDD/happiness/h08 (1).wav,1,happiness,male
AESDD/happiness/h15 (4).wav,4,happiness,female
AESDD/happiness/h17 (2).wav,2,happiness,female
AESDD/happiness/h10 (4).wav,4,happiness,female
AESDD/happiness/h11 (5).wav,5,happiness,male
AESDD/happiness/h06 (1).wav,1,happiness,male
AESDD/happiness/h07 (2).wav,2,happiness,female
AESDD/happiness/h03 (5).wav,5,happiness,male
AESDD/happiness/h15 (6).wav,6,happiness,female
AESDD/happiness/h04 (4).wav,4,happiness,female
AESDD/happiness/h12 (6).wav,6,happiness,female
AESDD/happiness/h18 (6).wav,6,happiness,female
AESDD/happiness/h11 (6).wav,6,happiness,female
AESDD/happiness/h12 (2).wav,2,happiness,female
AESDD/happiness/h10 (6).wav,6,happiness,female
AESDD/happiness/h19 (6).wav,6,happiness,female
AESDD/happiness/h04 (1).wav,1,happiness,male
AESDD/happiness/h15 (2).wav,2,happiness,female
AESDD/happiness/h06 (3).wav,3,happiness,male
AESDD/happiness/h08 (4).wav,4,happiness,female
AESDD/happiness/h19 (4).wav,4,happiness,female
AESDD/anger/a09 (2).wav,2,anger,female
AESDD/anger/a11 (6).wav,6,anger,female
AESDD/anger/a06 (4).wav,4,anger,female
AESDD/anger/a12 (3).wav,3,anger,male
AESDD/anger/a17 (6).wav,6,anger,female
AESDD/anger/a17 (5).wav,5,anger,male
AESDD/anger/a15 (6).wav,6,anger,female
AESDD/anger/a10 (2).wav,2,anger,female
AESDD/anger/a01 (2).wav,2,anger,female
AESDD/anger/a08 (1).wav,1,anger,male
AESDD/anger/a09 (1).wav,1,anger,male
AESDD/anger/a13 (5).wav,5,anger,male
AESDD/anger/a08 (5).wav,5,anger,male
AESDD/anger/a08 (6).wav,6,anger,female
AESDD/anger/a04 (4).wav,4,anger,female
AESDD/anger/a01 (1).wav,1,anger,male
AESDD/anger/a06 (3).wav,3,anger,male
AESDD/anger/a11 (5).wav,5,anger,male
AESDD/anger/a18 (6).wav,6,anger,female
AESDD/anger/a02 (5).wav,5,anger,male
AESDD/anger/a07 (3).wav,3,anger,male
AESDD/anger/a13 (3).wav,3,anger,male
AESDD/anger/a20 (1).wav,1,anger,male
AESDD/anger/a12 (1).wav,1,anger,male
AESDD/anger/a06 (1).wav,1,anger,male
AESDD/anger/a07 (6).wav,6,anger,female
AESDD/anger/a02 (2).wav,2,anger,female
AESDD/anger/a14 (5).wav,5,anger,male
AESDD/anger/a09 (4).wav,4,anger,female
AESDD/anger/a10 (3).wav,3,anger,male
AESDD/anger/a04 (2).wav,2,anger,female
AESDD/anger/a15 (5).wav,5,anger,male
AESDD/anger/a02 (3).wav,3,anger,male
AESDD/anger/a19 (2).wav,2,anger,female
AESDD/anger/a07 (5).wav,5,anger,male
AESDD/anger/a18 (3).wav,3,anger,male
AESDD/anger/a02 (6).wav,6,anger,female
AESDD/anger/a12 (6).wav,6,anger,female
AESDD/anger/a11 (2).wav,2,anger,female
AESDD/anger/a19 (5).wav,5,anger,male
AESDD/anger/a14 (3).wav,3,anger,male
AESDD/anger/a20 (5).wav,5,anger,male
AESDD/anger/a03 (3).wav,3,anger,male
AESDD/anger/a16 (2).wav,2,anger,female
AESDD/anger/a16 (6).wav,6,anger,female
AESDD/anger/a06 (2).wav,2,anger,female
AESDD/anger/a05 (6).wav,6,anger,female
AESDD/anger/a03 (4).wav,4,anger,female
AESDD/anger/a07 (4).wav,4,anger,female
AESDD/anger/a05 (1).wav,1,anger,male
AESDD/anger/a20 (4).wav,4,anger,female
AESDD/anger/a09 (3).wav,3,anger,male
AESDD/anger/a08 (4).wav,4,anger,female
AESDD/anger/a16 (4).wav,4,anger,female
AESDD/anger/a10 (4).wav,4,anger,female
AESDD/anger/a05 (4).wav,4,anger,female
AESDD/anger/a02 (1).wav,1,anger,male
AESDD/anger/a13 (6).wav,6,anger,female
AESDD/anger/a17 (3).wav,3,anger,male
AESDD/anger/a15 (2).wav,2,anger,female
AESDD/anger/a07 (2).wav,2,anger,female
AESDD/anger/a06 (5).wav,5,anger,male
AESDD/anger/a06 (5)b.wav,5,anger,male
AESDD/anger/a03 (6).wav,6,anger,female
AESDD/anger/a16 (1).wav,1,anger,male
AESDD/anger/a01 (4).wav,4,anger,female
AESDD/anger/a20 (3).wav,3,anger,male
AESDD/anger/a05 (5).wav,5,anger,male
