file,emotion,gender,language,word
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_A_hoy.wav,anger,female,spanish,hoy
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_B_danza.wav,anger,male,spanish,danza
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_B_amenazado.wav,fear,child,spanish,amenazado
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_B_amenazado.wav,anger,male,spanish,amenazado
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_B_monstruoso.wav,sadness,female,spanish,monstruoso
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_B_calma.wav,happiness,male,spanish,calma
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_B_giro.wav,neutral,female,spanish,giro
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_A_abajo.wav,anger,female,spanish,abajo
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_B_funeraria.wav,sadness,male,spanish,funeraria
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_B_monstruoso.wav,disgust,female,spanish,monstruoso
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_A_no.wav,happiness,male,spanish,no
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_A_detras.wav,anger,female,spanish,detras
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_B_hondo.wav,neutral,child,spanish,hondo
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_B_odioso.wav,disgust,male,spanish,odioso
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_A_delante.wav,anger,male,spanish,delante
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_bola.wav,neutral,male,spanish,bola
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_B_furia.wav,fear,male,spanish,furia
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_B_enojo.wav,anger,male,spanish,enojo
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_B_ataque.wav,sadness,child,spanish,ataque
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_A_por_favor.wav,disgust,female,spanish,por favor
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_B_relajacion.wav,fear,female,spanish,relajacion
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_A_no.wav,anger,male,spanish,no
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_B_conflicto.wav,sadness,male,spanish,conflicto
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_B_ceguera.wav,sadness,female,spanish,ceguera
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_B_robo.wav,fear,child,spanish,robo
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_A_hoy.wav,fear,female,spanish,hoy
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_dentro.wav,anger,child,spanish,dentro
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_A_detras.wav,happiness,child,spanish,detras
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_A_lento.wav,sadness,male,spanish,lento
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_B_conciente.wav,neutral,female,spanish,conciente
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_gracias.wav,anger,child,spanish,gracias
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_B_congelado.wav,neutral,child,spanish,congelado
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_B_ferrocarril.wav,neutral,child,spanish,ferrocarril
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_A_pronto.wav,fear,female,spanish,pronto
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_B_cirugia.wav,fear,female,spanish,cirugia
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_A_ayer.wav,happiness,male,spanish,ayer
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_B_furia.wav,fear,female,spanish,furia
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_A_tarde.wav,disgust,male,spanish,tarde
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_hola.wav,neutral,female,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_A_derecha.wav,disgust,male,spanish,derecha
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_B_aficion.wav,happiness,child,spanish,aficion
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_A_abajo.wav,sadness,child,spanish,abajo
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_azulejo.wav,neutral,male,spanish,azulejo
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_B_danino.wav,anger,child,spanish,danino
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_abajo.wav,anger,child,spanish,abajo
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_A_por_favor.wav,anger,male,spanish,por favor
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_A_derecha.wav,sadness,female,spanish,derecha
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_A_gracias.wav,neutral,male,spanish,gracias
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_A_hola.wav,happiness,male,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_B_atasco.wav,disgust,female,spanish,atasco
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_B_desorden.wav,anger,male,spanish,desorden
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_A_pronto.wav,fear,child,spanish,pronto
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_B_bello.wav,happiness,child,spanish,bello
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_B_humillacion.wav,anger,child,spanish,humillacion
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_B_amistad.wav,happiness,male,spanish,amistad
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_A_izquierda.wav,fear,male,spanish,izquierda
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_B_monstruoso.wav,disgust,child,spanish,monstruoso
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_A_derecha.wav,happiness,child,spanish,derecha
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_A_hola.wav,anger,female,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_A_no.wav,anger,female,spanish,no
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_agencia.wav,neutral,male,spanish,agencia
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_A_si.wav,anger,female,spanish,si
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_A_hola.wav,sadness,female,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_B_ducha.wav,happiness,male,spanish,ducha
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_B_clavel.wav,happiness,child,spanish,clavel
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_A_nunca.wav,sadness,child,spanish,nunca
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_B_amenazado.wav,sadness,child,spanish,amenazado
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_ayer.wav,anger,child,spanish,ayer
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_B_delincuencia.wav,disgust,male,spanish,delincuencia
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_B_injusticia.wav,sadness,child,spanish,injusticia
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_A_lento_dentro.wav,happiness,child,spanish,lento dentro
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_A_afuera.wav,sadness,male,spanish,afuera
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_A_gracias.wav,happiness,female,spanish,gracias
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_A_hola.wav,sadness,male,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_B_delincuencia.wav,fear,female,spanish,delincuencia
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_A_dentro.wav,happiness,male,spanish,dentro
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_A_abajo.wav,disgust,child,spanish,abajo
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_por_favor.wav,anger,child,spanish,por favor
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_B_abuso.wav,sadness,child,spanish,abuso
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_A_por_favor.wav,happiness,female,spanish,por favor
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_A_ayer.wav,happiness,child,spanish,ayer
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_A_izquierda.wav,sadness,female,spanish,izquierda
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_A_hola.wav,happiness,female,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_A_adios.wav,happiness,child,spanish,adios
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_A_fuera.wav,fear,female,spanish,fuera
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_A_por_favor.wav,disgust,child,spanish,por favor
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_A_detras.wav,sadness,male,spanish,detras
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_B_insultado.wav,disgust,child,spanish,insultado
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_B_aplausos.wav,happiness,child,spanish,aplausos
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_B_creido.wav,disgust,female,spanish,creido
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_A_adios.wav,happiness,male,spanish,adios
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_A_abajo.wav,fear,child,spanish,abajo
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_A_adios.wav,fear,child,spanish,adios
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_B_colorado.wav,neutral,male,spanish,colorado
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_B_oasis.wav,happiness,female,spanish,oasis
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_A_dentro.wav,sadness,child,spanish,dentro
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_B_agua.wav,happiness,male,spanish,agua
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_A_lento.wav,fear,female,spanish,lento
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_A_arriba.wav,disgust,child,spanish,arriba
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_B_ira.wav,sadness,male,spanish,ira
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_A_basta_ya.wav,disgust,female,spanish,basta ya
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_A_por_favor.wav,sadness,child,spanish,por favor
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_A_hoy.wav,fear,child,spanish,hoy
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_detras.wav,neutral,female,spanish,detras
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_derecha.wav,anger,child,spanish,derecha
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_A_lento.wav,sadness,female,spanish,lento
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_A_basta_ya.wav,fear,male,spanish,basta ya
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_B_torturado.wav,disgust,male,spanish,torturado
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_B_tristeza.wav,fear,female,spanish,tristeza
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_A_gracias.wav,fear,male,spanish,gracias
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_de_nada.wav,neutral,female,spanish,de nada
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_B_fracasado.wav,sadness,female,spanish,fracasado
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_A_nunca.wav,disgust,male,spanish,nunca
MESD/Mexican Emotional Speech Database (MESD)/Disgust_F_B_arana.wav,disgust,female,spanish,arana
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_B_alterado.wav,fear,child,spanish,alterado
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_B_abuso.wav,anger,female,spanish,abuso
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_B_cirugia.wav,fear,child,spanish,cirugia
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_B_escurridizo.wav,neutral,child,spanish,escurridizo
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_A_antes.wav,disgust,child,spanish,antes
MESD/Mexican Emotional Speech Database (MESD)/Happiness_M_B_atractivo.wav,happiness,male,spanish,atractivo
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_tarde.wav,anger,child,spanish,tarde
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_B_monstruoso.wav,anger,female,spanish,monstruoso
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_arriba.wav,anger,child,spanish,arriba
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_A_izquierda.wav,disgust,child,spanish,izquierda
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_A_abajo.wav,neutral,child,spanish,abajo
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_B_calma.wav,happiness,female,spanish,calma
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_A_basta_ya.wav,neutral,male,spanish,basta ya
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_B_horroroso.wav,fear,female,spanish,horroroso
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_B_disputa.wav,anger,child,spanish,disputa
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_B_monstruo.wav,disgust,child,spanish,monstruo
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_B_aguijon.wav,fear,female,spanish,aguijon
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_B_crisis.wav,disgust,child,spanish,crisis
MESD/Mexican Emotional Speech Database (MESD)/Fear_F_A_hola.wav,fear,female,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_B_creativo.wav,happiness,child,spanish,creativo
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_B_traicion.wav,sadness,child,spanish,traicion
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_por_favor.wav,neutral,female,spanish,por favor
MESD/Mexican Emotional Speech Database (MESD)/Anger_C_A_rapido.wav,anger,child,spanish,rapido
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_B_delincuencia.wav,anger,female,spanish,delincuencia
MESD/Mexican Emotional Speech Database (MESD)/Neutral_F_A_antes.wav,neutral,female,spanish,antes
MESD/Mexican Emotional Speech Database (MESD)/Happiness_F_A_de_nada.wav,happiness,female,spanish,de nada
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_B_inconciente.wav,fear,male,spanish,inconciente
MESD/Mexican Emotional Speech Database (MESD)/Sadness_C_A_basta_ya.wav,sadness,child,spanish,basta ya
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_A_si.wav,anger,male,spanish,si
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_B_carcajada.wav,happiness,child,spanish,carcajada
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_B_furia.wav,anger,female,spanish,furia
MESD/Mexican Emotional Speech Database (MESD)/Neutral_M_A_nunca.wav,neutral,male,spanish,nunca
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_B_insultado.wav,anger,female,spanish,insultado
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_A_basta_ya.wav,sadness,female,spanish,basta ya
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_B_oasis.wav,happiness,child,spanish,oasis
MESD/Mexican Emotional Speech Database (MESD)/Disgust_C_A_hola.wav,disgust,child,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Sadness_M_A_rapido.wav,sadness,male,spanish,rapido
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_B_insultado.wav,sadness,female,spanish,insultado
MESD/Mexican Emotional Speech Database (MESD)/Fear_C_A_arriba.wav,fear,child,spanish,arriba
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_B_estafa.wav,fear,male,spanish,estafa
MESD/Mexican Emotional Speech Database (MESD)/Disgust_M_A_hola.wav,disgust,male,spanish,hola
MESD/Mexican Emotional Speech Database (MESD)/Fear_M_A_tarde.wav,fear,male,spanish,tarde
MESD/Mexican Emotional Speech Database (MESD)/Sadness_F_B_delincuencia.wav,sadness,female,spanish,delincuencia
MESD/Mexican Emotional Speech Database (MESD)/Anger_M_B_ira.wav,anger,male,spanish,ira
MESD/Mexican Emotional Speech Database (MESD)/Anger_F_B_relajacion.wav,anger,female,spanish,relajacion
MESD/Mexican Emotional Speech Database (MESD)/Happiness_C_B_relax.wav,happiness,child,spanish,relax
MESD/Mexican Emotional Speech Database (MESD)/Neutral_C_B_mojado.wav,neutral,child,spanish,mojado
